status,customer,ttspl,serial,sheet_rent,crm_amount,diff
ON_SHEET_NOT_IN_CRM,Upila Digital,TTSPL4226,9NS0BC3,3676.19,,3676.19
AMOUNT_DIFF,URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,TTSPL5678,FG1PM53,999,1804.65,-805.65
AMOUNT_DIFF,Easy Fix Handy Solutions India Private Limited,TTSPL6170,PF31SJBW,1400,2529.03,-1129.03
ON_SHEET_NOT_IN_CRM,Clanify Media Private Limited,TTSPL6672,5GLZP13,1200,,1200
AMOUNT_DIFF,Clickonik Digital Private Limited,TTSPL7406,5CG0278Q1C,1805.32,1856.9,-51.58
AMOUNT_DIFF,QUICKREPLY TECHNOLOGIES INDIA PRIVATE LIMITED,TTSPL6379,PG02HVTV,2099,3791.74,-1692.74
AMOUNT_DIFF,QUICKREPLY TECHNOLOGIES INDIA PRIVATE LIMITED,TTSPL4341,PF2R31SD,2699,4875.61,-2176.61
AMOUNT_DIFF,QUICKREPLY TECHNOLOGIES INDIA PRIVATE LIMITED,TTSPL4397,PC2830BV,2099,3791.74,-1692.74
AMOUNT_DIFF,MNR Solutions Pvt. Ltd.,TTSPL7125,G4PSVZ2,1961.29,2064.52,-103.23
ON_SHEET_NOT_IN_CRM,EXOTALENT CONSULTANCY SERVICES LLP,TTSPL7432,3489R73,1740.97,,1740.97
ON_SHEET_NOT_IN_CRM,BIODEAL PHARMACEUTICALS LIMITED,TTSPL6559,5CD112LTG0,1500,,1500
AMOUNT_DIFF,Stylework Innovation Hub Pvt Ltd.,TTSPL6400,PG02YB1S,1899,3491.71,-1592.71
ON_SHEET_NOT_IN_CRM,ASL GLOBAL ADVISORS PRIVATE LIMITED,TTSPL6984,5CG2146Y91,2399,,2399
ON_SHEET_NOT_IN_CRM,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED,TTSPL6662,FDTM763,1500,,1500
AMOUNT_DIFF,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED,TTSPL6080,CSSS103,1500,1349,151
AMOUNT_DIFF,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED,TTSPL2987,58JVCB3,2950,2951.61,-1.61
ON_SHEET_NOT_IN_CRM,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED,TTSPL6463,4Q83C63,1305.48,,1305.48
ON_SHEET_NOT_IN_CRM,ABJAYON CONSULTANCY PRIVATE LIMITED,TTSPL6559,5CD112LTG0.,2198,,2198
AMOUNT_DIFF,The Class One/ Inventify Edtech solution Pvt. Ltd,TTSPL7399,5CG0274NHG,2022.58,2093.55,-70.97
AMOUNT_DIFF,BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,TTSPL5434,7CSHWZ2,1150,1929.03,-779.03
AMOUNT_DIFF,ZYKRR TECHNOLOGIES PRIVATE LIMITED,TTSPL4602,7H518C3,2899,5236.9,-2337.9
AMOUNT_DIFF,ZYKRR TECHNOLOGIES PRIVATE LIMITED,TTSPL3733,F24Z2J3,2899,5236.9,-2337.9
AMOUNT_DIFF,ZYKRR TECHNOLOGIES PRIVATE LIMITED,TTSPL7224,R913GZE9,3931.37,3933.52,-2.15
AMOUNT_DIFF,ZYKRR TECHNOLOGIES PRIVATE LIMITED,TTSPL7248,R913GZ4D,3931.37,3933.52,-2.15
AMOUNT_DIFF,ZYKRR TECHNOLOGIES PRIVATE LIMITED,TTSPL7270,R913GZE0,3931.37,3933.52,-2.15
ON_SHEET_NOT_IN_CRM,ZYKRR TECHNOLOGIES PRIVATE LIMITED,TTSPL6936,88R60J3,3931.37,,3931.37
AMOUNT_DIFF,ZYKRR TECHNOLOGIES PRIVATE LIMITED,TTSPL5722,66PYCL3,3931.37,3933.52,-2.15
AMOUNT_DIFF,EVENTIVE COMMUNICATIONS LLP,TTSPL7220,R913GZCM,1799,3481.94,-1682.94
AMOUNT_DIFF,EVENTIVE COMMUNICATIONS LLP,TTSPL7149,R913GZ41,1799,3481.94,-1682.94
ON_SHEET_NOT_IN_CRM,EVERSOFT TECHNOLOGIES PRIVATE LIMITED,TTSPL2016,CJNL7S2,1199,,1199
AMOUNT_DIFF,SPNN BUSINESS SERVICES PRIVATE LIMITED,TTSPL5288,PF2QZLXD,2600,1900,700
AMOUNT_DIFF,SPNN BUSINESS SERVICES PRIVATE LIMITED,TTSPL6122,PF2416HJ,2600,1900,700
AMOUNT_DIFF,SPNN BUSINESS SERVICES PRIVATE LIMITED,TTSPL3310,6H0M1Z2,2600,1900,700
AMOUNT_DIFF,SPNN BUSINESS SERVICES PRIVATE LIMITED,TTSPL3940,5CG9375Q8F,2600,1900,700
AMOUNT_DIFF,SPNN BUSINESS SERVICES PRIVATE LIMITED,TTSPL3244,D64NYY2,2600,1900,700
