sheet_client,customer_name,customer_id,invoice,sheet_count,crm_invoice_count,count_diff,sheet_price,crm_invoice_price,price_diff,extras_count,extras,missing_on_invoice,action_needed
URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,92,INV-0756,38,42,-4,36862,40558,-3696,5,TTSPL2341|TTSPL1045|TTSPL1491|TTSPL2633|TTSPL4434,,EXCLUDE_5_EXTRAS_FROM_AUG_INVOICE
Upila Digital,Upila Digital,28,INV-0815,12,11,1,34924.35,31248.16,3676.19,0,,TTSPL4226,ADD_MISSING_TO_INVOICE
Digital Eco Innovision Private Limited,Digital Eco Innovision Private Limited,11,INV-0777,27,29,-2,68471.84,72069.84,-3598,3,TTSPL2343|TTSPL3379|TTSPL6187,,EXCLUDE_3_EXTRAS_FROM_AUG_INVOICE
DROR SERVICES PRIVATE LIMITED,DROR SERVICES PRIVATE LIMITED,185,INV-0918,19,20,-1,33981,37398.65,-3417.65,1,TTSPL3781,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
G N APNA UDYOG LLP (AU Logistics)/RATHAM TECHNOLOGIES LLP,RATHAM TECHNOLOGIES LLP,122,INV-0902,59,60,-1,128022.97,131232.29,-3209.32,2,TTSPL4314|TTSPL6381,,EXCLUDE_2_EXTRAS_FROM_AUG_INVOICE
MNR Solutions Pvt. Ltd.,MNR Solutions Pvt. Ltd.,178,INV-0920,28,30,-2,32446.13,35646.13,-3200,2,TTSPL7587|TTSPL7586,,EXCLUDE_2_EXTRAS_FROM_AUG_INVOICE
SYNERGY SOFTWARES LIMITED,SYNERGY SOFTWARES LIMITED,44,INV-0776,3,5,-2,5100,8250,-3150,2,TTSPL3993|TTSPL5680,,EXCLUDE_2_EXTRAS_FROM_AUG_INVOICE
Quest Solutions Private Limited,Quest Solutions Private Limited,9,INV-0792,43,40,3,90378.44,87302.49,3075.95,0,,TTSPL4377|TTSPL2454|TTSPL7445,ADD_MISSING_TO_INVOICE
Sturmfrei Hospitality Pvt. Ltd,Sturmfrei Hospitality Pvt. Ltd,281,INV-0802,5,6,-1,16495,19494,-2999,0,,,CHECK_RATE_OR_CATCHUP
Carrum Mobility Solutions,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED,207,INV-0868,68,64,4,103255.48,100451.61,2803.87,1,TTSPL6080-A,TTSPL6271|TTSPL6781|TTSPL6662|TTSPL6080|TTSPL6463,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE+ADD_MISSING_TO_INVOICE
Viralcurry Digital Private Limited,VIRALCURRY DIGITAL PRIVATE LIMITED,17,INV-0814,6,8,-2,8526.45,11206.45,-2680,2,TTSPL1769|TTSPL2347,,EXCLUDE_2_EXTRAS_FROM_AUG_INVOICE
NOTUS SERVICES PRIVATE LIMITED,NOTUS SERVICES PRIVATE LIMITED,61,INV-0805,20,17,3,31197.19,28683,2514.19,0,,TTSPL5192|TTSPL7496|TTSPL7500,ADD_MISSING_TO_INVOICE
FLEET LABS TECHNOLOGIES PRIVATE LIMITED (Apna Mart),FLEET LABS TECHNOLOGIES PRIVATE LIMITED,94,INV-0901,188,189,-1,502076.26,504575.24,-2498.98,5,TTSPL6984_A|TTSPL5116|TTSPL4118|TTSPL4582|TTSPL6433.,TTSPL6984,EXCLUDE_5_EXTRAS_FROM_AUG_INVOICE+ADD_MISSING_TO_INVOICE
COSMO BRANDS PRIVATE LIMITED,COSMO BRANDS PRIVATE LIMITED,118,INV-0861,9,11,-2,11646,14026,-2380,2,TTSPL1709|TTSPL2219,,EXCLUDE_2_EXTRAS_FROM_AUG_INVOICE
Era Botanics private Limited,ERA BOTANICS PRIVATE LIMITED,33,INV-0912,17,18,-1,35570.58,37869.58,-2299,1,TTSPL6320,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
Xsky,XSKY LOUNGE HOSPITALITY PRIVATE LIMITED,200,INV-0774,1,2,-1,2899,5121.57,-2222.57,1,TTSPL4801,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
SHINENPRIME HEALTHCARE PRIVATE LIMITED,SHINENPRIME HEALTHCARE PRIVATE LIMITED,261,INV-0775,18,20,-2,20953.74,23152.76,-2199.02,3,TTSPL6671_B|TTSPL6676_B|TTSPL1055,TTSPL6676-A,EXCLUDE_3_EXTRAS_FROM_AUG_INVOICE+ADD_MISSING_TO_INVOICE
Abjayon Consultancy Pvt. Ltd.,ABJAYON CONSULTANCY PRIVATE LIMITED,206,INV-0879,26,28,-2,52754,54952.77,-2198.77,2,TTSPL6559_B|TTSPL6058,,EXCLUDE_2_EXTRAS_FROM_AUG_INVOICE
SLEEP MANAGEMENT PRIVATE LIMITED,SLEEP MANAGEMENT PRIVATE LIMITED(New),41,INV-0878,95,94,1,207548.35,205549.35,1999,0,,TTSPL4385/TTSPL4376,ADD_MISSING_TO_INVOICE
Mercury Solutions Limited,Mercury Solutions Limited,26,INV-0798,33,34,-1,57255.77,59154.78,-1899.01,1,TTSPL7198,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,6,INV-0841,29,30,-1,63098,64898,-1800,1,TTSPL1056,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
Nexthire LLP,Nexthire LLP,52,INV-0750,5,6,-1,4995,6795,-1800,1,TTSPL7148,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
EXOTALENT CONSULTANCY SERVICES LLP,EXOTALENT CONSULTANCY SERVICES LLP,182,INV-0911,4,3,1,7238.97,5498,1740.97,0,,TTSPL7432,ADD_MISSING_TO_INVOICE
RESEARCH NESTER PRIVATE LIMITED,Research Nester Private Limited,20,INV-0910,51,53,-2,54881.32,56395.65,-1514.33,6,TTSPL1536|TTSPL2121|TTSPL1036|TTSPL1826|TTSPL2570|TTSPL3208,TTSPL4209|TTSPL2691|TTSPL7472,EXCLUDE_6_EXTRAS_FROM_AUG_INVOICE+ADD_MISSING_TO_INVOICE
AMAR AMBA FINANCE HIRE PURCHASE PRIVATE LIMITED,Amar Amba Finance Hire Purchase Private Limited,255,INV-0824,9,10,-1,11343,12843,-1500,1,TTSPL6080,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
Pas Digital Pvt Ltd,Pas Digital Pvt Ltd,62,INV-0870,13,14,-1,27310,28809,-1499,1,TTSPL4155,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
Clanify Media Private Limited,Clanify Media Private Limited,138,INV-0830,16,15,1,25155.29,23955.3,1199.99,1,TTSPL6672-A,TTSPL6672,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE+ADD_MISSING_TO_INVOICE
EVERSOFT TECHNOLOGIES PRIVATE LIMITED,EVERSOFT TECHNOLOGIES PRIVATE LIMITED,251,INV-0817,10,11,-1,11990,13189,-1199,1,TTSPL2016_B,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
IIOT INNOVATION Private Limited,IIOT INNOVATION PRIVATE LIMITED,214,INV-0791,12,11,1,23278.68,22117.97,1160.71,0,,TTSPL3083,ADD_MISSING_TO_INVOICE
SELECTASTRO PRIVATE LIMITED,SelectAstro Private Limited,107,INV-0840,26,23,3,73579.21,72451,1128.21,0,,TTSPL7392|TTSPL7389|TTSPL7387,ADD_MISSING_TO_INVOICE
Aim Plus Staffing Solutions,Aim Plus Staffing Solutions,130,INV-0923,7,8,-1,12179,13279,-1100,1,TTSPL4209,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
The Class One/ Inventify Edtech solution Pvt. Ltd,The Class One/ Inventify Edtech solution Pvt. Ltd,230,INV-0883,13,14,-1,17280.65,18380.64,-1099.99,1,TTSPL1777,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
MANNA BIOTECH PRIVATE LIMITED,MANNA BIOTECH PRIVATE LIMITED,38,INV-0890,1,2,-1,2118,3217,-1099,1,TTSPL4095,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
COSMOFEED TECHNOLOGIES PRIVATE LIMITED,COSMOFEED TECHNOLOGIES PVT LTD,111,INV-0864,41,42,-1,88753.45,89752.45,-999,1,TTSPL1459,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
Beom Commerce Private Limited,Beom Commerce Private Limited,131,INV-0812,10,8,2,11190.32,11027.42,162.9,0,,TTSPL7476|TTSPL7499,ADD_MISSING_TO_INVOICE
DIGITAL NIRVANA INFORMATION SYSTEMS INDIA PRIVATE LIMITED,Digital Nirvana Information Systems Pvt Ltd,30,INV-0810,11,11,0,28234.94,28302.63,-67.69,0,,,CHECK_RATE_OR_CATCHUP
INNOVA ESI PRIVATE LIMITED,INNOVA ESI PRIVATE LIMITED,74,,1,0,1,1,0,1,0,,TTSPL7448,ADD_MISSING_TO_INVOICE
Antino Labs Private Limited,ANTINO LABS PRIVATE LIMITED,120,INV-0794,65,66,-1,125367.61,125367.61,0,1,TTSPL1942,,EXCLUDE_1_EXTRAS_FROM_AUG_INVOICE
