sheet_client_name,crm_customer_id,crm_customer_name,invoice_number,sheet_active_assets,sheet_rent_total,crm_invoice_subtotal,rent_diff_sheet_minus_crm,matched_assets,sheet_not_in_crm,amount_mismatch_assets,aligned
MANTARAV PRIVATE LIMITED,968,MANTARAV PRIVATE LIMITED,INV-0736,1,5399,7314.77,-1915.77,1,0,1,NO
MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,6,MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,INV-0555,29,63098,64898,-1800,29,0,0,NO
Nexthire LLP,52,Nexthire LLP,INV-0591,5,4995,6795,-1800,5,0,0,NO
Synergie Network Engineering India Pvt Ltd,25,Synergie Network Engineering India Pvt Ltd,INV-0570,36,73064,74837.48,-1773.48,36,0,1,NO
BMRV Engineering Consultants LLP,137,BMRV Engineering Consultants LLP,INV-0650,13,25788,27561.39,-1773.39,13,0,1,NO
EXOTALENT CONSULTANCY SERVICES LLP,182,EXOTALENT CONSULTANCY SERVICES LLP,INV-0675,4,7238.97,5498,1740.97,3,1,0,NO
Stylework Innovation Hub Pvt Ltd.,180,Stylework Innovation Hub Pvt Ltd.,INV-0674,23,50277,51869.71,-1592.71,23,0,1,NO
RESEARCH NESTER PRIVATE LIMITED,20,Research Nester Private Limited,INV-0565,51,54881.33,56395.65,-1514.32,49,2,2,NO
Maxlence Digital (OPC) Private Limited,211,Maxlence Digital (OPC) Private Limited,INV-0691,2,11343.55,12851.61,-1508.06,2,0,1,NO
Pas Digital Pvt Ltd,62,Pas Digital Pvt Ltd,INV-0598,13,27310,28809,-1499,13,0,0,NO
QUREX HEALTH PRIVATE LIMITED,959,QUREX HEALTH PRIVATE LIMITED,INV-0733,5,8987.68,10431.8,-1444.12,5,0,2,NO
Bergen Associated Pvt Ltd,121,BERGEN ASSOCIATES PVT LTD.,INV-0638,1,2400,3840,-1440,1,0,0,NO
CoreOps.AI,970, CoreOps.AI,INV-0738,2,22046.32,23304.29,-1257.97,2,0,1,NO
IN KNOW TECH PRIVATE LIMITED,960,IN KNOW TECH PRIVATE LIMITED,INV-0734,1,2500,3709.68,-1209.68,1,0,1,NO
Clanify Media Private Limited,138,Clanify Media Private Limited,INV-0651,16,25155.3,23955.3,1200,15,1,0,NO
