metric,value
sheet_assets,2894
sheet_rent_total,6965702.07
crm_aug_subtotal_excl_ascent,7131581.299999999
assets_matched_ok,2813
assets_amount_diff,37
assets_missing_in_crm_invoice,44
customers_aligned,114
customers_with_diff,68
