customerName,totalActive,totalPrice,sheetPrice,sheetActive,status
LEARNINGPAD EDUCATION SOLUTIONS PRIVATE LIMITED,2,4798,4798,2,Matched
LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,93,355663,355663,93,Matched
MANNA BIOTECH PRIVATE LIMITED,2,3217,3217,2,Matched
MANTARAV PRIVATE LIMITED,1,5399,5399,1,Matched
Max LT Technologies,1,1999,1999,1,Matched
Maxlence Digital (OPC) Private Limited,2,11343.55,11343.55,2,Matched
Mercury Solutions Limited,34,57574.78,57574.77,34,Matched
MERITSHOT ZETTA EDUTECH PRIVATE LIMITED,1,5999,5999,1,Matched
MERVICE INFOTECH PRIVATE LIMITED,19,33854.97,33854.97,19,Matched
MNR Solutions Pvt. Ltd.,28,32446.13,32446.13,28,Matched
MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,30,64898,64898,30,Matched
NECTAR INFOTEL SOLUTIONS PRIVATE LIMITED,7,7893,7893,7,Matched
Nexthire LLP,5,4995,4995,5,Matched
NOTUS SERVICES PRIVATE LIMITED,20,31197.2,31197.19,20,Matched
NUTRITIONALAB PRIVATE LIMITED,51,230197.78,230197.77,51,Matched
OEX TECH SOLUTION PVT. LTD,23,59677,59677,23,Matched
OLA,4,4,4,4,Matched
OPERISOFT TECHNOLOGIES PRIVATE LIMITED,5,9995,9995,5,Matched
Optimizing Resources Private Limited,105,176274.68,176274.68,105,Matched
Pas Digital Pvt Ltd,14,28809,28809,14,Matched
PEOPLE STAFFING SOLUTIONS,35,34426,34426,35,Matched
PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,19,32770.36,32770.36,19,Matched
Pibit Technologies Private Limited,227,1024591.03,1031065.03,228,Not matched
PINNACLEWORKS INFOTECH PRIVATE LIMITED,8,15397,15397,8,Matched
Power Parts Pvt. Ltd.,2,4789,4789,2,Matched
PPG ASIAN PAINTS PRIVATE LIMITED,16,21210.65,21210.65,16,Matched
Prisha Insurance Brokers Pvt Ltd,6,11731.48,11731.48,6,Matched
PRO-ALIGN SECURITY INDIA PRIVATE LIMITED,13,17537,17537,13,Matched
Quest Solutions Private Limited,43,90378.46,90378.44,43,Matched
QUICKREPLY TECHNOLOGIES INDIA PRIVATE LIMITED,11,20858.71,20858.71,11,Matched
QUREX HEALTH PRIVATE LIMITED,5,8987.68,8987.68,5,Matched
RAK Fitness Consumer Private Limited,13,49091,49091,13,Matched
Rangreza Retail Services Pvt Ltd,4,10947,10947,4,Matched
RASAYANAM NUTRIPHARM PRIVATE LIMITED,1,4999,4999,1,Matched
RATHAM TECHNOLOGIES LLP,59,128022.97,128022.97,59,Matched
RealVibe digital media pvt ltd,2,9598,9598,2,Matched
RENCOMM TELE SERVICES LLP,4,4796,4796,4,Matched
Research Nester Private Limited,56,58476.33,58476.32,56,Matched
REYKLE INDIA PRIVATE LIMITED,13,51691,51691,13,Matched
RHOPHI ANALYTICS LLP (Punjab),44,254691.74,254691.74,44,Matched
RISK EDUCATORS PRIVATE LIMITED,1,5299,5299,1,Matched
RITU DAVID CONSULTING,13,74845.19,74845.19,13,Matched
ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,20,21599,21599,20,Matched
Saajha,6,11658,11658,6,Matched
SAAN GLOBAL LIMITED,8,23379.04,23379.03,8,Matched
SAATHI WORLDAPP PRIVATE LIMITED,4,6000,6000,4,Matched
SARTHHAKAI PRIVATE LIMITED,5,28986,28986,5,Matched
SBNRI TECHNOLOGIES PRIVATE LIMITED (HR),4,10098,10098,4,Matched
scaleglobal,6,13625.81,13625.81,6,Matched
Scoopalicious (OPC) Private limited,1,5999,5999,1,Matched
SelectAstro Private Limited,26,73579.23,73579.21,26,Matched
SGATE TECH SOLUTIONS PRIVATE LIMITED,8,15682.06,15682.06,8,Matched
