customer_name,sheet_client_name,customer_id,invoice_number,sheet_total_count,crm_total_count,count_diff,count_match,sheet_total_price,crm_invoice_price,price_diff,price_match,crm_catchup_count,crm_catchup_amount,sheet_catchup_count,matched_assets,missing_on_invoice_count,extra_on_invoice_count,missing_on_invoice,extra_on_invoice,aligned
RITU DAVID CONSULTING,Ritu David Consulting/Data Duck,88,INV-0783,13,13,0,YES,74845.19,74845.19,0,YES,2,9257.19,2,13,0,0,,,YES
Road Express Technology Pvt. Ltd.,Road Express Technology Pvt. Ltd.,,,19,0,19,NO,20900,0,20900,NO,0,0,0,0,19,0,TTSPL5037|TTSPL5046|TTSPL5193|TTSPL5195|TTSPL5477|TTSPL5218|TTSPL5664|TTSPL5677|TTSPL5679|TTSPL3663|TTSPL4961|TTSPL5221|TTSPL5488|TTSPL3154|TTSPL3109|TTSPL4930|TTSPL2743|TTSPL3128|TTSPL3851,,NO
Saajha,Saajha,14,INV-0856,4,6,-2,NO,7678,11658,-3980,NO,0,0,0,4,0,2,,TTSPL1010|TTSPL4506,NO
SAAN GLOBAL LIMITED,SAAN GLOBAL LIMITED,271,INV-0765,8,8,0,YES,23379.03,23379.04,-0.01,YES,2,187.04,2,8,0,0,,,YES
SAATHI WORLDAPP PRIVATE LIMITED,SAATHI WORLDAPP PRIVATE LIMITED,15,INV-0795,4,4,0,YES,6000,6000,0,YES,0,0,0,4,0,0,,,YES
SARTHHAKAI PRIVATE LIMITED,SARTHHAKAI PRIVATE LIMITED,39,INV-0846,5,5,0,YES,28986,28986,0,YES,0,0,0,5,0,0,,,YES
SBNRI TECHNOLOGIES PRIVATE LIMITED (HR),SBNRI TECHNOLOGIES PRIVATE LIMITED,217,INV-0897,4,4,0,YES,10098,10098,0,YES,0,0,0,4,0,0,,,YES
scaleglobal,scaleglobal,280,INV-0778,6,6,0,YES,13625.81,13625.81,0,YES,1,425.81,1,6,0,0,,,YES
Scoopalicious (OPC) Private limited,Scoopalicious (OPC) Private limited,240,INV-0788,1,1,0,YES,5999,5999,0,YES,0,0,0,1,0,0,,,YES
SelectAstro Private Limited,SELECTASTRO PRIVATE LIMITED,107,INV-0933,26,24,2,NO,73579.21,75249,-1669.79,NO,1,1399,3,24,2,0,TTSPL7392|TTSPL7389,,NO
SGATE TECH SOLUTIONS PRIVATE LIMITED,SGATE Tech Solutions Private Limited,89,INV-0850,8,8,0,YES,15682.06,15682.06,0,YES,1,490.06,1,8,0,0,,,YES
SHINENPRIME HEALTHCARE PRIVATE LIMITED,SHINENPRIME HEALTHCARE PRIVATE LIMITED,261,INV-0941,18,19,-1,NO,20953.74,21952.76,-999.02,NO,4,2167.76,4,16,2,3,TTSPL6671-A|TTSPL6676-A,TTSPL6676_B|TTSPL6671_B|TTSPL1055,NO
Shreyas Management Consulting Services,Shreyas Management Consulting Services,76,INV-0914,12,12,0,YES,21188,21188,0,YES,0,0,0,12,0,0,,,YES
SINGULARITY GAMES PRIVATE LIMITED,SINGULARITY GAMES PRIVATE LIMITED,216,INV-0837,4,4,0,YES,16944.13,16944.13,0,YES,1,1548.13,1,4,0,0,,,YES
SLEEP MANAGEMENT PRIVATE LIMITED(New),SLEEP MANAGEMENT PRIVATE LIMITED,41,INV-0878,95,94,1,NO,207548.35,205549.35,1999,NO,8,4338.35,8,94,1,0,TTSPL4385/TTSPL4376,,NO
SOM PRO FACILITIES INDIA PRIVATE LIMITED,SOM PRO FACILITIES INDIA PRIVATE LIMITED,258,INV-0752,5,5,0,YES,6745,6745,0,YES,0,0,0,5,0,0,,,YES
SPNN BUSINESS SERVICES PRIVATE LIMITED,SPNN BUSINESS SERVICES PRIVATE LIMITED,256,INV-0909,84,83,1,NO,154843.17,146201.23,8641.94,NO,13,11653.23,14,83,1,0,TTSPL7123,,NO
SPRINGWEL MATTRESSES PRIVATE LIMITED,SPRINGWEL MATTRESSES PRIVATE LIMITED,,,1,0,1,NO,1499,0,1499,NO,0,0,0,0,1,0,TTSPL3840,,NO
STEFEN ELECTRIC PRIVATE LIMIED,Stefen Electric Pvt Ltd,84,INV-0754,5,5,0,YES,4995,4995,0,YES,0,0,0,5,0,0,,,YES
Sturmfrei Hospitality Pvt. Ltd,Sturmfrei Hospitality Pvt. Ltd,281,INV-0942,5,5,0,YES,16495,16495,0,YES,0,0,0,5,0,0,,,YES
Stylework Innovation Hub Pvt Ltd.,Stylework Innovation Hub Pvt Ltd.,180,INV-0759,23,23,0,YES,50277,50277,0,YES,0,0,0,23,0,0,,,YES
SUKHMAA SONS AND ASSOCIATES,SUKHMAA SONS AND ASSOCIATES,42,INV-0779,12,18,-6,NO,18044.32,21843.28,-3798.96,NO,3,207.28,1,12,0,6,,TTSPL2386|TTSPL2618|TTSPL3402|TTSPL2323|8286|8285,NO
Synergie Network Engineering India Pvt Ltd,Synergie Network Engineering India Pvt Ltd,25,INV-0899,36,36,0,YES,73064,73064,0,YES,0,0,0,36,0,0,,,YES
SYNERGY SOFTWARES LIMITED,SYNERGY SOFTWARES LIMITED,44,INV-0776,3,5,-2,NO,5100,8250,-3150,NO,0,0,0,3,0,2,,TTSPL3993|TTSPL5680,NO
Tagbin Services Pvt Ltd,Tagbin Services Pvt. Ltd,1,INV-0913,37,37,0,YES,113167,113167,0,YES,0,0,0,37,0,0,,,YES
Talent Skillsvarsity Private Limited,Talent Skillsvarsity Private Limited,247,INV-0885,2,2,0,YES,2034,2034,0,YES,0,0,0,2,0,0,,,YES
Technians Softech Pvt.Ltd,Technians Softech Pvt.Ltd,219,INV-0851,6,6,0,YES,17237.32,17237.31,0.01,YES,3,4043.31,3,6,0,0,,,YES
Techsur Solutions Private Limited/Naraharisetty Bobby B2C,Techsur Solutions Private Limited/Naraharisetty Bobby B2C,,,15,0,15,NO,49697.55,0,49697.55,NO,0,0,3,0,15,0,TTSPL5108|TTSPL5598|TTSPL4850|TTSPL5792|TTSPL6096|TTSPL6625|TTSPL4726|TTSPL6747|TTSPL4841|TTSPL4606|TTSPL7046|TTSPL6684|TTSPL6638|TTSPL4614|TTSPL7423,,NO
Tekuncorked Aiiot Private Limited,Tekuncorked Aiiot Private Limited,56,INV-0825,23,23,0,YES,55576.81,55576.81,0,YES,1,541.81,1,23,0,0,,,YES
TENSOR LOGISTICS PRIVATE LIMITED,TENSOR LOGISTICS PRIVATE LIMITED,85,INV-0800,8,8,0,YES,12093,12093,0,YES,0,0,0,8,0,0,,,YES
The Class One/ Inventify Edtech solution Pvt. Ltd,The Class One/ Inventify Edtech solution Pvt. Ltd,230,INV-0883,13,14,-1,NO,17280.65,18380.64,-1099.99,NO,3,2980.64,3,13,0,1,,TTSPL1777,NO
Town Contact Technologies Private Limited,TOWN CONTACTS TECHNOLOGIES PRIVATE LIMITED,91,INV-0826,12,12,0,YES,23488,23488,0,YES,0,0,0,12,0,0,,,YES
Trailytics Global Services Private Limited,Trailytics Global Services Private Limited,10,INV-0834,8,8,0,YES,22583,22583,0,YES,0,0,0,8,0,0,,,YES
Transcending Horizons Private Limited,Transcending Horizons Private Limited,213,INV-0839,1,1,0,YES,999,999,0,YES,0,0,0,1,0,0,,,YES
TripHunter In,TripHunter In,,,9,0,9,NO,16191,0,16191,NO,0,0,0,0,9,0,TTSPL4684|TTSPL4706|TTSPL4535|TTSPL4730|TTSPL4696|TTSPL5228|TTSPL4733|TTSPL5233|TTSPL6546,,NO
TRIPOCLAN TRAVEL PRIVATE LIMITED,TRIPOCLAN TRAVEL PRIVATE LIMITED,45,INV-0838,12,12,0,YES,22289,22289,0,YES,0,0,0,12,0,0,,,YES
TRUE BUSINESS MINDS PRIVATE LIMITED,TRUE BUSINESS MINDS PRIVATE LIMITED,204,INV-0818,14,14,0,YES,12600,12600,0,YES,0,0,0,14,0,0,,,YES
TSCX CONSULTING PRIVATE LIMITED,TSCX CONSULTING PRIVATE LIMITED,49,INV-0905,1,1,0,YES,4299,4299,0,YES,0,0,0,1,0,0,,,YES
United precision Cast,United precision Cast,273,INV-0744,1,1,0,YES,1700,1700,0,YES,0,0,0,1,0,0,,,YES
Upila Digital,Upila Digital,28,INV-0815,12,11,1,NO,34924.35,31248.16,3676.19,NO,1,2257.16,2,11,1,0,TTSPL4226,,NO
URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,92,INV-0756,38,42,-4,NO,36862,40558,-3696,NO,0,0,0,38,0,4,,TTSPL2341|TTSPL1045|TTSPL1491|TTSPL2633,NO
V6 SKIN CLINIC PRIVATE LIMITED,V6 SKIN CLINIC PRIVATE LIMITED,2,INV-0865,5,5,0,YES,11895,11895,0,YES,0,0,0,5,0,0,,,YES
Vaatun Technologies Private Limited,Vaatun Technologies Private Limited,274,INV-0844,1,1,0,YES,3500,3500,0,YES,0,0,0,1,0,0,,,YES
VALENTA KPO PRIVATE LIMITED,VALENTA KPO PRIVATE LIMITED,16,INV-0867,7,7,0,YES,15893,15893,0,YES,0,0,0,7,0,0,,,YES
VINCIT TECHNOLOGIES PVT LTD,VINCIT TECHNOLOGIES PVT LTD,112,INV-0763,2,2,0,YES,3498,3498,0,YES,0,0,0,1,1,1,TTSPL2016,TTSPL2016_A,YES
VIRALCURRY DIGITAL PRIVATE LIMITED,Viralcurry Digital Private Limited,17,INV-0814,6,8,-2,NO,8526.45,11206.45,-2680,NO,1,86.45,1,6,0,2,,TTSPL1769|TTSPL2347,NO
WedMeGood,WedMeGood,57,INV-0803,1,1,0,YES,4999,4999,0,YES,0,0,0,1,0,0,,,YES
WICK AUTOMATION LLP,Wick Automation LLP,93,INV-0849,9,9,0,YES,14242.58,14242.58,0,YES,1,51.58,1,9,0,0,,,YES
WSB PROJECTS PRIVATE LIMITED,WSB Projects Pvt. Ltd,70,INV-0749,8,8,0,YES,13112.9,13112.9,0,YES,1,1112.9,1,8,0,0,,,YES
XSKY LOUNGE HOSPITALITY PRIVATE LIMITED,Xsky,200,INV-0774,1,2,-1,NO,2899,5121.57,-2222.57,NO,0,0,0,1,0,1,,TTSPL4801,NO
Youbooks Edtech India Pvt. Ltd.,Youbooks Edtech India Pvt. Ltd.,233,INV-0842,7,7,0,YES,7894,7894,0,YES,0,0,0,7,0,0,,,YES
ZENITHIA GARDEN OF JOY PRIVATE LIMITED,ZENITHIA GARDEN OF JOY PRIVATE LIMITED,243,INV-0874,1,1,0,YES,1399,1399,0,YES,0,0,0,1,0,0,,,YES
ZYKRR TECHNOLOGIES PRIVATE LIMITED,ZYKRR TECHNOLOGIES PRIVATE LIMITED,242,INV-0816,38,37,1,NO,99653.58,95730.82,3922.76,NO,7,12767.82,8,37,1,0,TTSPL6936,,NO
TOTAL,,,,2894,2874,20,,6965702.06,6876605.03,89097.03,,178,192274.69,202,2747,147,127,,,
