customer_name,sheet_client_name,customer_id,invoice_number,sheet_total_count,crm_total_count,count_diff,count_match,sheet_total_price,crm_invoice_price,price_diff,price_match,crm_catchup_count,crm_catchup_amount,sheet_catchup_count,matched_assets,missing_on_invoice_count,extra_on_invoice_count,missing_on_invoice,extra_on_invoice,aligned
CDBASE SOLUTIONS INDIA PRIVATE LIMITED,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,203,INV-0929,25,25,0,YES,52475,52475,0,YES,0,0,0,25,0,0,,,YES
CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,113,INV-0787,17,17,0,YES,33079.39,33079.38,0.01,YES,2,696.38,2,17,0,0,,,YES
CIPHERBEAT LLP,CIPHERBEAT LLP,259,INV-0808,1,1,0,YES,1699,1699,0,YES,0,0,0,1,0,0,,,YES
Clanify Media Private Limited,Clanify Media Private Limited,138,INV-0936,16,16,0,YES,25155.29,25155.3,-0.01,YES,6,1761.3,6,16,0,0,,,YES
COAL BEAUTY PRIVATE LIMITED,COAL BEAUTY PRIVATE LIMITED,145,INV-0921,5,9,-4,NO,5995,10791,-4796,NO,0,0,0,5,0,4,,TTSPL2752|TTSPL1053|TTSPL1007|TTSPL1783,NO
COSMO BRANDS PRIVATE LIMITED,COSMO BRANDS PRIVATE LIMITED,118,INV-0861,9,11,-2,NO,11646,14026,-2380,NO,0,0,0,9,0,2,,TTSPL1709|TTSPL2219,NO
COSMOFEED TECHNOLOGIES PVT LTD,COSMOFEED TECHNOLOGIES PRIVATE LIMITED,111,INV-0864,41,42,-1,NO,88753.45,89752.45,-999,NO,1,193.45,1,41,0,1,,TTSPL1459,NO
DASH AST TECHNOLOGY LLP,DASH AST TECHNOLOGY LLP,140,INV-0892,2,2,0,YES,1998,1998,0,YES,0,0,0,2,0,0,,,YES
DAWNSUN EXIM CORPORATION,Dawnsun Exim Corporation,126,INV-0873,2,9,-7,NO,4149,17977,-13828,NO,0,0,0,2,0,7,,TTSPL3254|TTSPL2441|-|TRU730|TTSPL2769|TRU1395|TTSPL1265,NO
Dawnsun Kyosei,Dawnsun Kyosei,,,3,0,3,NO,5488,0,5488,NO,0,0,0,0,3,0,TTSPL3254|TTSPL2769|TTSPL2441,,NO
