sheet_client_name,crm_customer_id,crm_customer_name,invoice_number,sheet_active_assets,crm_invoice_unique_assets,sheet_rent_total,crm_invoice_subtotal,rent_diff_sheet_minus_crm,matched_assets,sheet_not_in_crm,crm_not_on_sheet,amount_mismatch_assets,aligned
ASL GLOBAL ADVISORS PRIVATE LIMITED,198,ASL GLOBAL ADVISORS PRIVATE LIMITED,INV-0253,12,13,28788,31187,-2399,11,1,2,0,NO
Era Botanics private Limited,33,ERA BOTANICS PRIVATE LIMITED,INV-0353,17,18,35570.58,37869.58,-2299,17,0,1,0,NO
Xsky,200,XSKY LOUNGE HOSPITALITY PRIVATE LIMITED,INV-0215,1,2,2899,5121.57,-2222.57,1,0,1,0,NO
Road Express Technology Pvt. Ltd.,66,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,INV-0300,20,18,21599,19399,2200,17,3,1,0,NO
SLEEP MANAGEMENT PRIVATE LIMITED,41,SLEEP MANAGEMENT PRIVATE LIMITED(New),INV-0319,95,93,207548.35,205355.96,2192.39,93,2,0,3,NO
SELECTASTRO PRIVATE LIMITED,107,SelectAstro Private Limited,INV-0281,23,22,72451,70452,1999,22,1,0,0,NO
MANTARAV PRIVATE LIMITED,968,MANTARAV PRIVATE LIMITED,INV-0307,1,1,5399,7314.77,-1915.77,1,0,0,1,NO
Mercury Solutions Limited,26,Mercury Solutions Limited,INV-0239,33,33,57255.78,59099.97,-1844.19,31,2,2,2,NO
Nexthire LLP,52,Nexthire LLP,INV-0190,5,6,4995,6795,-1800,5,0,1,0,NO
GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,105,GRAYOPUS TECHNOLOGIES PRIVATE LIMITED,INV-0276,28,27,56797.16,54998.16,1799,27,1,0,0,NO
Synergie Network Engineering India Pvt Ltd,25,Synergie Network Engineering India Pvt Ltd,INV-0340,36,36,73064,74837.48,-1773.48,36,0,0,1,NO
BMRV Engineering Consultants LLP,137,BMRV Engineering Consultants LLP,INV-0335,13,13,25788,27561.39,-1773.39,13,0,0,1,NO
EXOTALENT CONSULTANCY SERVICES LLP,182,EXOTALENT CONSULTANCY SERVICES LLP,INV-0352,4,3,7238.97,5498,1740.97,3,1,0,0,NO
SYNERGY SOFTWARES LIMITED,44,SYNERGY SOFTWARES LIMITED,INV-0217,4,5,6550,8250,-1700,3,1,2,0,NO
Stylework Innovation Hub Pvt Ltd.,180,Stylework Innovation Hub Pvt Ltd.,INV-0200,23,23,50277,51869.71,-1592.71,23,0,0,1,NO
Beom Commerce Private Limited,131,Beom Commerce Private Limited,INV-0252,8,7,11027.42,9502.42,1525,7,1,0,0,NO
Maxlence Digital (OPC) Private Limited,211,Maxlence Digital (OPC) Private Limited,INV-0347,2,2,11343.55,12851.61,-1508.06,2,0,0,1,NO
Aim Plus Staffing Solutions,130,Aim Plus Staffing Solutions,INV-0364,8,7,13679,12179,1500,7,1,0,0,NO
QUREX HEALTH PRIVATE LIMITED,959,QUREX HEALTH PRIVATE LIMITED,INV-0191,5,5,8987.68,10431.8,-1444.12,5,0,0,2,NO
,157,B2C (Naveen Verma),INV-0322,0,1,0,1356,-1356,0,0,1,0,NO
AMAR AMBA FINANCE HIRE PURCHASE PRIVATE LIMITED,255,Amar Amba Finance Hire Purchase Private Limited,INV-0264,10,9,12692,11343,1349,9,1,0,0,NO
CoreOps.AI,970, CoreOps.AI,INV-0187,2,2,22046.32,23304.29,-1257.97,2,0,0,1,NO
IN KNOW TECH PRIVATE LIMITED,960,IN KNOW TECH PRIVATE LIMITED,INV-0263,1,1,2500,3709.68,-1209.68,1,0,0,1,NO
,237,DIVINEHINDU LIFESTYLE PRIVATE LIMITED,INV-0197,0,2,0,1161.3,-1161.3,0,0,2,0,NO
Easy Fix Handy Solutions India Private Limited,141,Easy Fix Handy Solutions India Private Limited,INV-0341,26,26,37199,38328.03,-1129.03,26,0,0,1,NO
Aksum Trademart Pvt Ltd,135,AKSUM TRADEMART PRIVATE LIMITED,INV-0210,8,8,16173.42,15076.65,1096.77,8,0,0,1,NO
