customer_name,customer_id,invoice,sheet_count,crm_bucket_rented_returned,sheet_price,crm_invoice_price,price_diff,extra_count,missing_count,inv_extra_count,inv_missing_count,extras,missing
"SHINENPRIME HEALTHCARE PRIVATE LIMITED",261,INV-0775,18,20,20953.74,23152.76,-2199.02,3,1,3,1,"TTSPL6671_B|TTSPL6676_B|TTSPL1055","TTSPL6676-A"
"ABJAYON CONSULTANCY PRIVATE LIMITED",206,INV-0879,26,28,52754,54952.77,-2198.77,2,0,2,0,"TTSPL6559_B|TTSPL6058",""
"SLEEP MANAGEMENT PRIVATE LIMITED(New)",41,INV-0878,95,95,207548.35,205549.35,1999,0,0,0,1,"",""
"Mercury Solutions Limited",26,INV-0798,33,34,57255.77,59154.78,-1899.01,1,0,1,0,"TTSPL7198",""
"MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED",6,INV-0841,29,30,63098,64898,-1800,1,0,1,0,"TTSPL1056",""
"Nexthire LLP",52,INV-0750,5,6,4995,6795,-1800,1,0,1,0,"TTSPL7148",""
"EXOTALENT CONSULTANCY SERVICES LLP",182,INV-0911,4,5,7238.97,5498,1740.97,0,0,0,1,"",""
"Research Nester Private Limited",20,INV-0910,51,56,54881.32,56395.65,-1514.33,6,0,5,3,"TTSPL1536|TTSPL2121|TTSPL1036|TTSPL1826|TTSPL2570|TTSPL3208",""
"Amar Amba Finance Hire Purchase Private Limited",255,INV-0824,9,10,11343,12843,-1500,1,0,1,0,"TTSPL6080",""
"Pas Digital Pvt Ltd",62,INV-0870,13,14,27310,28809,-1499,1,0,1,0,"TTSPL4155",""
"Clanify Media Private Limited",138,INV-0830,16,16,25155.29,23955.3,1199.99,1,0,0,1,"TTSPL6672-A",""
"EVERSOFT TECHNOLOGIES PRIVATE LIMITED",251,INV-0817,10,11,11990,13189,-1199,1,0,1,0,"TTSPL2016_B",""
"IIOT INNOVATION PRIVATE LIMITED",214,INV-0791,12,11,23278.68,22117.97,1160.71,0,0,0,1,"",""
"SelectAstro Private Limited",107,INV-0840,26,23,73579.21,72451,1128.21,0,0,0,3,"",""
"Aim Plus Staffing Solutions",130,INV-0923,7,8,12179,13279,-1100,1,0,1,0,"TTSPL4209",""
"The Class One/ Inventify Edtech solution Pvt. Ltd",230,INV-0883,13,14,17280.65,18380.64,-1099.99,1,0,1,0,"TTSPL1777",""
"MANNA BIOTECH PRIVATE LIMITED",38,INV-0890,1,2,2118,3217,-1099,1,0,1,0,"TTSPL4095",""
"COSMOFEED TECHNOLOGIES PVT LTD",111,INV-0864,41,42,88753.45,89752.45,-999,1,0,1,0,"TTSPL1459",""
"Beom Commerce Private Limited",131,INV-0812,10,8,11190.32,11027.42,162.9,0,0,0,2,"",""
"Digital Nirvana Information Systems Pvt Ltd",30,INV-0810,11,11,28234.94,28302.63,-67.69,0,0,0,0,"",""
"INNOVA ESI PRIVATE LIMITED",74,,1,0,1,0,1,0,0,0,1,"",""
"GRAYOPUS TECHNOLOGIES PRIVATE LIMITED",105,INV-0835,28,29,56797.16,56797.16,0,1,0,0,0,"TTSPL3042",""
"Synergie Network Engineering India Pvt Ltd",25,INV-0899,36,39,73064,73064,0,3,0,0,0,"TTSPL3950|TTSPL3949|TTSPL2141",""
"VINCIT TECHNOLOGIES PVT LTD",112,INV-0763,2,2,3498,3498,0,1,1,1,1,"TTSPL2016_A","TTSPL2016"
"Shreyas Management Consulting Services",76,INV-0914,12,13,21188,21188,0,1,0,0,0,"TTSPL7398",""
"Elysium Labs Pvt Ltd",127,INV-0771,24,24,47235.61,47235.61,0,1,1,1,1,"TTSPL6671_A","TTSPL6671"
"Easy Fix Handy Solutions India Private Limited",141,INV-0900,26,27,37199,37199,0,1,0,0,0,"TTSPL6913",""
"BIODEAL PHARMACEUTICALS LIMITED",183,INV-0889,50,50,75945,75945,0,1,1,1,1,"TTSPL6559_A","TTSPL6559"
"ANTINO LABS PRIVATE LIMITED",120,INV-0794,65,66,125367.61,125367.61,0,1,0,1,0,"TTSPL1942",""
