ttspl,client,bill_from,sheet,crm,delta,kind
TTSPL7270,"ZYKRR TECHNOLOGIES PRIVATE LIMITED",2026-07-02,3931.366666666667,3933.52,-2.15,AMT
TTSPL6936,"ZYKRR TECHNOLOGIES PRIVATE LIMITED",2026-07-02,3931.366666666667,0,,MISSING
TTSPL5722,"ZYKRR TECHNOLOGIES PRIVATE LIMITED",2026-07-02,3931.366666666667,3933.52,-2.15,AMT
TTSPL5288,"SPNN BUSINESS SERVICES PRIVATE LIMITED",2026-08-01,2600,1900,700,AMT
TTSPL6122,"SPNN BUSINESS SERVICES PRIVATE LIMITED",2026-08-01,2600,1900,700,AMT
TTSPL3310,"SPNN BUSINESS SERVICES PRIVATE LIMITED",2026-08-01,2600,1900,700,AMT
TTSPL3940,"SPNN BUSINESS SERVICES PRIVATE LIMITED",2026-08-01,2600,1900,700,AMT
TTSPL3244,"SPNN BUSINESS SERVICES PRIVATE LIMITED",2026-08-01,2600,1900,700,AMT
TTSPL7290,"SPNN BUSINESS SERVICES PRIVATE LIMITED",2026-08-01,2091.94,1900,191.94,AMT
TTSPL6656,"SPNN BUSINESS SERVICES PRIVATE LIMITED",2026-07-06,2850,50,2800,AMT
TTSPL7123,"SPNN BUSINESS SERVICES PRIVATE LIMITED",2026-07-20,2150,0,,MISSING
TTSPL6671-A,"SHINENPRIME HEALTHCARE PRIVATE LIMITED",2026-08-01,999,1200,-201,AMT
TTSPL6676-A,"SHINENPRIME HEALTHCARE PRIVATE LIMITED",2026-08-01,999,0,,MISSING
TTSPL7448,"INNOVA ESI PRIVATE LIMITED",2026-07-31,1,0,,MISSING
TTSPL3268,"Parts Avatar India Pvt. Ltd.",2026-07-01,3750,2500,1250,AMT
TTSPL4640,"Parts Avatar India Pvt. Ltd.",2026-07-10,8129.032258064516,5129.03,3000,AMT
