sheet_client,crm_customer_id,crm_name,invoice,sheet_assets,sheet_rent,crm_subtotal,diff,aligned
"Mercury Solutions Limited",26,"Mercury Solutions Limited",INV-0798,33,57255.77,59154.78,-1899.01,NO
"MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED",6,"MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED",INV-0841,29,63098,64898,-1800,NO
"Nexthire LLP",52,"Nexthire LLP",INV-0750,5,4995,6795,-1800,NO
"EXOTALENT CONSULTANCY SERVICES LLP",182,"EXOTALENT CONSULTANCY SERVICES LLP",INV-0911,4,7238.97,5498,1740.97,NO
"RESEARCH NESTER PRIVATE LIMITED",20,"Research Nester Private Limited",INV-0910,51,54881.32,56395.65,-1514.33,NO
"AMAR AMBA FINANCE HIRE PURCHASE PRIVATE LIMITED",255,"Amar Amba Finance Hire Purchase Private Limited",INV-0824,9,11343,12843,-1500,NO
"Pas Digital Pvt Ltd",62,"Pas Digital Pvt Ltd",INV-0870,13,27310,28809,-1499,NO
"Bergen Associated Pvt Ltd",121,"BERGEN ASSOCIATES PVT LTD.",INV-0780,1,2400,3840,-1440,NO
"Clanify Media Private Limited",138,"Clanify Media Private Limited",INV-0830,16,25155.29,23955.3,1199.99,NO
"EVERSOFT TECHNOLOGIES PRIVATE LIMITED",251,"EVERSOFT TECHNOLOGIES PRIVATE LIMITED",INV-0817,10,11990,13189,-1199,NO
"IIOT INNOVATION Private Limited",214,"IIOT INNOVATION PRIVATE LIMITED",INV-0791,12,23278.68,22117.97,1160.71,NO
"SELECTASTRO PRIVATE LIMITED",107,"SelectAstro Private Limited",INV-0840,26,73579.21,72451,1128.21,NO
"Aim Plus Staffing Solutions",130,"Aim Plus Staffing Solutions",INV-0923,7,12179,13279,-1100,NO
"The Class One/ Inventify Edtech solution Pvt. Ltd",230,"The Class One/ Inventify Edtech solution Pvt. Ltd",INV-0883,13,17280.65,18380.64,-1099.99,NO
"MANNA BIOTECH PRIVATE LIMITED",38,"MANNA BIOTECH PRIVATE LIMITED",INV-0890,1,2118,3217,-1099,NO
"COSMOFEED TECHNOLOGIES PRIVATE LIMITED",111,"COSMOFEED TECHNOLOGIES PVT LTD",INV-0864,41,88753.45,89752.45,-999,NO
"Inaya Reality",34,"Inaya Realty",INV-0831,3,5397,6396,-999,NO
"Road Express Technology Pvt. Ltd.",66,"ROADEXPRESS TECHNOLOGY PRIVATE LIMITED",INV-0859,19,20900,21599,-699,NO
"ATTITUDE EVENETS PRIVATE LIMITED",115,"ATTITUDE EVENTS PRIVATE LIMITED",INV-0760,21,36066.94,35834.68,232.26,NO
"Beom Commerce Private Limited",131,"Beom Commerce Private Limited",INV-0812,10,11190.32,11027.42,162.9,NO
"DIGITAL NIRVANA INFORMATION SYSTEMS INDIA PRIVATE LIMITED",30,"Digital Nirvana Information Systems Pvt Ltd",INV-0810,11,28234.94,28302.63,-67.69,NO
