#,TTSPL,Serial,Customer,Rental Date,Rental DC,Return DC,Sale Date,Sale DC,Sale Price
99,TTSPL2814,DK3JPH2,B M TECHNOLOGIES,2026-02-06,DC-000452,RDC001301,2026-06-11,DC/26-27/0633,10593.00
100,TTSPL2837,45YXZF2,B M TECHNOLOGIES,2026-02-06,DC-001629,RDC001331,2026-06-11,DC/26-27/0623,10593.00
101,TTSPL2101,4DPVMF2,B M TECHNOLOGIES,2026-03-26,DC-003405,"RDC000999, RDC001113, RDC001317",2026-06-11,DC/26-27/0621,13559.00
102,TTSPL3019,9V7TJC2,B M TECHNOLOGIES,2026-02-06,DC-000013,"RDC000196, RDC001268",2026-06-11,DC/26-27/0621,13559.00
103,TTSPL2922,F446PH2,B M TECHNOLOGIES,2026-02-06,DC-000090,"RDC001294, RDC001612",2026-06-10,DC/26-27/0855,1.00
104,TTSPL2631,FVFFW4VQ05F,MJ CARBUN8 TECHNOLOGY PRIVATE LIMITED,2026-02-06,DC-000080,RDC001326,2026-06-09,DC/26-27/0620,48000.00
105,TTSPL5852,HK9QPVWY70,MJ CARBUN8 TECHNOLOGY PRIVATE LIMITED,2026-02-06,DC-000116,RDC001327,2026-06-09,DC/26-27/0620,90000.00
106,TTSPL5996,JQMRYVRW2V,MJ CARBUN8 TECHNOLOGY PRIVATE LIMITED,2026-02-06,DC-000118,RDC001328,2026-06-09,DC/26-27/0620,80000.00
107,TTSPL3911,41LP7H2,B M TECHNOLOGIES,2026-02-06,DC-000454,RDC001237,2026-06-08,DC/26-27/0603,10593.00
108,TTSPL2796,BTFGRC2,B M TECHNOLOGIES,2026-02-06,DC-001716,RDC001149,2026-06-05,DC/26-27/0586,20763.00
109,TTSPL2826,FKVBFC2,B M TECHNOLOGIES,2026-06-03,DC/26-27/0567,,2026-06-05,DC/26-27/0586,20763.00
110,TTSPL3022,5MMCKC2,B M TECHNOLOGIES,2026-02-06,DC-001652,RDC001154,2026-06-05,DC/26-27/0586,10593.00
111,YASHTRUE1483,HH3BPH2,B M TECHNOLOGIES,2026-02-06,DC-000881,RDC000927,2026-06-05,DC/26-27/0586,20763.00
112,TTSPL2967,JVKR8S2,RENCOMM TELE SERVICES LLP,2026-02-06,DC-002503,RDC001273,2026-06-05,DC/26-27/0576,17000.00
113,TTSPL5036,PC164BHX,RENCOMM TELE SERVICES LLP,2026-02-06,DC-002497,RDC001270,2026-06-05,DC/26-27/0576,17000.00
114,TTSPL5063,PC1624AM,RENCOMM TELE SERVICES LLP,2026-02-06,DC-002496,RDC001269,2026-06-05,DC/26-27/0576,17000.00
115,TTSPL5428,7VV7JW2,RENCOMM TELE SERVICES LLP,2026-02-06,DC-002498,RDC001274,2026-06-05,DC/26-27/0576,17000.00
116,TTSPL4503,F74J8C3,B M TECHNOLOGIES,2026-04-14,DC-003614,RDC001284,2026-06-05,DC/26-27/0582,21186.00
117,TTSPL6972,BV2NWD3,B M TECHNOLOGIES,2026-02-19,DC-002937,"RDC000428, RDC001283",2026-06-05,DC/26-27/0582,18220.00
118,TTSPL5617,PF3C6Z1R,B M TECHNOLOGIES,2026-02-06,DC-000685,RDC001241,2026-06-05,DC/26-27/0586,18644.00
119,TTSPL1257,JTCDSJ2,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,2026-02-06,DC-000122,RDC001265,2026-06-03,DC/26-27/0570,11000.00
120,TTSPL1873,5CG5031XCW,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,2026-02-06,DC-000123,RDC001266,2026-06-03,DC/26-27/0570,11000.00
121,TTSPL2230,PC0474B1,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,2026-02-06,DC-000124,RDC001267,2026-06-03,DC/26-27/0570,11000.00
122,TTSPL4972,PG04FH2R,B M TECHNOLOGIES,2026-02-06,DC-002402,RDC001214,2026-06-03,DC/26-27/0527,27119.00
123,TTSPL4990,PG04FGY5,B M TECHNOLOGIES,2026-02-06,DC-000413,"RDC000312, RDC001229",2026-06-03,DC/26-27/0527,27119.00
124,TTSPL5000,PG04FGYP,B M TECHNOLOGIES,2026-02-06,DC-002572,RDC000659,2026-06-03,DC/26-27/0527,27119.00
125,TTSPL1245,165LX52,B M TECHNOLOGIES,2026-02-06,DC-001591,RDC001221,2026-06-03,DC/26-27/0549,9322.00
126,TTSPL2767,G5H73G2,A S Computer Services PVTLTD,2026-02-06,DC-000823,RDC001015,2026-06-03,DC/26-27/0544,10593.00
127,TTSPL3237,5CD9468ZHF,RIZWAN KHAN,2026-02-06,DC-001752,"RDC000888, RDC001379, RDC001879",2026-06-02,DC/26-27/0506,20763.00
128,TTSPL3364,5CD9468ZLS,RIZWAN KHAN,2026-02-06,DC-001748,"RDC000919, RDC001378",2026-06-02,DC/26-27/0506,20763.00
129,TTSPL1614,4QH7CG2,BM Computers,2026-02-06,DC-000676,RDC000876,2026-06-02,DC/26-27/0485,27119.00
130,TTSPL4978,PG04FGXY,BM Computers,2026-02-06,DC-001945,RDC000516,2026-06-02,DC/26-27/0485,27119.00
131,TTSPL4999,PG04FE1Q,BM Computers,2026-02-06,DC-001894,RDC000718,2026-06-02,DC/26-27/0485,27119.00
132,TTSPL5110,PG04FAL8,BM Computers,2026-02-06,DC-001171,RDC000388,2026-06-02,DC/26-27/0485,27119.00
133,TTSPL5115,PG04GTGT,BM Computers,2026-02-06,DC-001947,RDC000703,2026-06-02,DC/26-27/0485,10593.00
134,TTSPL4993,PG04FAMK,B M TECHNOLOGIES,2026-02-06,DC-001943,RDC001227,2026-06-02,DC/26-27/0526,27119.00
135,TTSPL4994,PG04GTFZ,B M TECHNOLOGIES,2026-02-06,DC-000213,RDC001162,2026-06-02,DC/26-27/0526,27119.00
136,TTSPL5002,PG04FGYM,B M TECHNOLOGIES,2026-02-06,DC-001896,RDC001153,2026-06-02,DC/26-27/0526,27119.00
137,TTSPL5111,PG04GTK5,B M TECHNOLOGIES,2026-02-06,DC-000247,RDC001158,2026-06-02,DC/26-27/0526,27119.00
138,TTSPL5272,PF3DNCLC,B M TECHNOLOGIES,2026-02-06,DC-000308,RDC001159,2026-06-01,DC/26-27/0529,20763.00
