#,TTSPL,Serial,Customer,Rental Date,Rental DC,Return DC,Sale Date,Sale DC,Sale Price
33,TTSPL2732,PC0KTCVE,B M TECHNOLOGIES,2026-02-06,DC-000453,RDC001300,2026-07-29,DC/26-27/0901,12711.00
34,TTSPL5031,PC164BL8,B M TECHNOLOGIES,2026-02-06,DC-002507,"RDC000256, RDC001658",2026-07-29,DC/26-27/0901,10593.00
35,TTSPL2130,G4XXMF2,B M TECHNOLOGIES,2026-02-06,DC-002637,RDC001299,2026-07-29,DC/26-27/0900,12711.00
36,TTSPL2402,PF0WYT5Z,B M TECHNOLOGIES,2026-02-06,DC-001651,RDC001644,2026-07-29,DC/26-27/0900,12711.00
37,TTSPL3448,1YR1F63,VIRALCURRY DIGITAL PRIVATE LIMITED,2026-02-06,DC-000008,RDC001816,2026-07-29,DC/26-27/0989,23000.00
38,TTSPLGR0030,PC06A8ZN,VIRALCURRY DIGITAL PRIVATE LIMITED,2026-02-06,DC-000004,RDC001815,2026-07-29,DC/26-27/0989,23000.00
39,TTSPL3873,5FZHM72,B M TECHNOLOGIES,2026-02-06,DC-001599,RDC001596,2026-07-14,DC/26-27/0884,10593.00
40,TTSPL3460,4231ZW2,B M TECHNOLOGIES,2026-02-06,DC-001668,RDC001544,2026-07-14,DC/26-27/0882,12712.00
41,TTSPL5602,PF33CYX0,B M TECHNOLOGIES,2026-02-06,DC-000296,RDC001521,2026-07-14,DC/26-27/0882,20762.00
42,TTSPL5605,PF33C4ZS,B M TECHNOLOGIES,2026-02-06,DC-000269,RDC001522,2026-07-14,DC/26-27/0876,20763.00
43,TTSPL2914,B7R0RN2,B M TECHNOLOGIES,2026-02-06,DC-001585,RDC001604,2026-07-14,DC/26-27/0875,10593.00
44,TTSPL3108,PF1V38NV,B M TECHNOLOGIES,2026-02-06,DC-000988,"RDC000956, RDC001631",2026-07-14,DC/26-27/0875,10593.00
45,TTSPL3047,8YSW4Q2,B M TECHNOLOGIES,2026-02-06,DC-001671,RDC001578,2026-07-11,DC/26-27/0860,12711.00
46,TTSPL3525,BPF6MQ2,B M TECHNOLOGIES,2026-02-06,DC-000696,RDC001585,2026-07-11,DC/26-27/0857,12711.00
47,TTSPL3529,380CSQ2,B M TECHNOLOGIES,2026-02-06,DC-000704,RDC001584,2026-07-11,DC/26-27/0857,12711.00
48,TTSPL2860,DKK0RC2,B M TECHNOLOGIES,2026-02-06,DC-001645,RDC001538,2026-07-11,DC/26-27/0853,10593.00
49,TTSPL3885,CFTL0N2,B M TECHNOLOGIES,2026-02-06,DC-001606,RDC001580,2026-07-11,DC/26-27/0853,10593.00
50,TTSPL1025,BWB7GH2,B M TECHNOLOGIES,2026-02-06,DC-001665,RDC001351,2026-07-10,DC/26-27/0849,12711.00
51,TTSPL2436,2DDWRF2,B M TECHNOLOGIES,2026-02-06,DC-001670,RDC001514,2026-07-08,DC/26-27/0837,10593.22
52,TTSPL2844,5V7V3G2,B M TECHNOLOGIES,2026-02-06,DC-001587,RDC001542,2026-07-08,DC/26-27/0837,10593.22
53,TTSPL5056,PF5DLBX3,B M TECHNOLOGIES,2026-02-06,DC-000507,RDC001562,2026-07-08,DC/26-27/0835,27118.64
54,TTSPL5062,PF5EC8JE,B M TECHNOLOGIES,2026-02-06,DC-000509,RDC001563,2026-07-08,DC/26-27/0835,27118.64
55,TTSPL2933,81WVJM2,B M TECHNOLOGIES,2026-02-06,DC-000681,RDC001335,2026-07-07,DC/26-27/0826,10600.00
56,TTSPL3033,GY5DPC2,B M TECHNOLOGIES,2026-02-06,DC-001626,RDC001509,2026-07-07,DC/26-27/0826,10600.00
