issue_type,why_category,why_detail,serial_id,ttspl_id,ups,serial_number,customer_id,customer_name,inventory_status,brand,model,rent_monthly_rate,rent_start_date,rent_billed_until,dispatch_mode,current_dc_number,serial_dispatched_at_ist,serial_delivered_at_ist,matched_dc_number,matched_dc_status,matched_dc_dispatched_at_ist,matched_dc_delivered_at_ist,sales_order_number,is_replaced,action_remark,came_from,suggested_rent_start,billing_impact,updated_at
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,52,TTSPL4616,TTSPL4616,CW0K8C3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5420 (Touch Screen),2699.00,,,,,,,,,,,,0,This product Pickuped from customer,200,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,1112,TTSPL4644,TTSPL4644,6HY8PQ3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5420 (Touch Screen),2699.00,,,,,,,,,,,,0,This product Pickuped from customer,108,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,1114,TTSPL4798,TTSPL4798,BBR60J3,94,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5420,2699.00,,,,,,,,,,,,0,This product Pickuped from customer,108,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null,849,TTSPL3703,TTSPL3703,C17HCD63Q6L4,252,Girish Srikrishna Paranjpe,rented,Dell,Apple Macbook Air,3800.00,,,,,,,DC/26-27/0751,delivered,,,SO/26-27/0748,0,This product returned from customer,48,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,2154,TTSPL4426,TTSPL4426,MXQP36HVXM,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Apple Macbook Air,5349.00,,,,,,,DC-001487,delivered,,2026-02-06,SO-001487,0,This product Pickuped from customer,108,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,1107,TTSPL4637,TTSPL4637,G1VD4M3,108,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,rented,Dell,Dell Latitude 5420 (Touch Screen),3150.00,,,,,,,DC-001501,delivered,,2026-02-06,SO-001501,0,This product Pickuped from customer,108,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|dc_delivered_but_not_synced_to_rent_start|current_dc_number_null,34,TTSPL3567,TTSPL3567,PC1M8P31,26,Mercury Solutions Limited,rented,Dell,Lenovo Thinkpad X-13,1699.00,,,,,,,DC-003803,delivered,,2026-04-27,SO-003908,0,This product Pickuped from customer,26,2026-04-27,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|serial_delivered_at_present_but_rent_start_not_set|current_dc_number_null,1894,TTSPL5129,TTSPL5129,PF55FX53,160,OLA,rented,Dell,Lenovo V14 (Gen 3),1.00,,,,,,2026-07-18,DC-002527,delivered,,2026-02-06,SO-002527,0,,,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 20:36:15 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|serial_delivered_at_present_but_rent_start_not_set|current_dc_number_null,1895,TTSPL5603,TTSPL5603,PF33C7AF,160,OLA,rented,Dell,Lenovo Thinkpad E14,1.00,,,,,,2026-07-18,DC-002528,delivered,,2026-02-06,SO-002528,0,,,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 20:36:15 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|serial_delivered_at_present_but_rent_start_not_set|current_dc_number_null,2589,TTSPL5833,TTSPL5833,F633JL3,160,OLA,rented,Dell,Dell Latitude 3420,1.00,,,,,,2026-07-18,DC-002529,delivered,,2026-02-06,SO-002529,0,,,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 20:36:15 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,DELIVERY_EXISTS_BUT_RENT_START_NOT_ACTIVATED,rent_start_date_is_null|serial_delivered_at_present_but_rent_start_not_set|current_dc_number_null,1896,TTSPL5909,TTSPL5909,5CD1218T2M,160,OLA,rented,Dell,HP Probook 440 G8,1.00,,,,,,2026-07-18,DC-002530,delivered,,2026-02-06,SO-002530,0,,,2026-02-06,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 20:36:15 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,2031,TTSPL1973,TTSPL1973,C4TDTQ2,72,PARTS AVATAR INDIA PRIVATE LIMITED,rented,Dell,Dell Latitude 5490,1250.00,,,,,,,,,,,,0,This product returned from customer,212,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,439,TTSPLGR0127,TTSPLGR0127,J2WN8S2,72,PARTS AVATAR INDIA PRIVATE LIMITED,rented,Dell,Dell Latitude 7490,1250.00,,,,,,,,,,,,0,This product Pickuped from customer,17,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,2286,TTSPL3404,TTSPL3404,77FY8Y2,48,Pibit Technologies Private Limited,rented,Dell,Dell Latitude 7400 (Touch Screen),3174.00,,,,,,,,,,,,0,This product Rejected from customer,204,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,3213,TTSPL4352,TTSPL4352,HF5V2Y90CN,48,Pibit Technologies Private Limited,rented,Dell,Apple Macbook Air,6474.00,,,,,,,,,,,,0,This product returned from customer,197,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
RENT_START_NULL,NEVER_ACTIVATED_NO_DC_NO_DELIVERY_DATE,rent_start_date_is_null|no_delivery_date_available|current_dc_number_null|no_delivery_challan_matched,1024,TTSPL4892,TTSPL4892,MH4LP233GM,48,Pibit Technologies Private Limited,rented,Dell,Apple Macbook Pro,9474.00,,,,,,,,,,,,0,This product Pickuped from customer,49,,SKIPPED on invoice generate until rent_start_date is set,Fri Jul 17 2026 19:36:41 GMT+0000 (Coordinated Universal Time)
