issue_type,serial_id,ttspl_id,serial_number,customer_id,customer_name,inventory_status,brand,model,rent_monthly_rate,rent_start_date,serial_delivered_at_ist,matched_dc_number,matched_dc_delivered_at_ist,best_delivery_date,days_rent_start_minus_delivery,suggested_rent_start,why,billing_impact,current_dc_number
RENT_START_NULL,34,TTSPL3567,PC1M8P31,26,Mercury Solutions Limited,rented,Dell,Lenovo Thinkpad X-13,1699.00,,,DC-003803,2026-04-27,2026-04-27,,2026-04-27,rent_start_date_null|dc_has_delivered_at_but_serial_rent_start_not_synced|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1894,TTSPL5129,PF55FX53,160,OLA,rented,Dell,Lenovo V14 (Gen 3),1.00,,2026-07-18,DC-002527,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|serial_has_delivered_at_but_rent_start_not_activated|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1895,TTSPL5603,PF33C7AF,160,OLA,rented,Dell,Lenovo Thinkpad E14,1.00,,2026-07-18,DC-002528,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|serial_has_delivered_at_but_rent_start_not_activated|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2589,TTSPL5833,F633JL3,160,OLA,rented,Dell,Dell Latitude 3420,1.00,,2026-07-18,DC-002529,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|serial_has_delivered_at_but_rent_start_not_activated|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1896,TTSPL5909,5CD1218T2M,160,OLA,rented,Dell,HP Probook 440 G8,1.00,,2026-07-18,DC-002530,2026-02-06,2026-02-06,,2026-02-06,rent_start_date_null|serial_has_delivered_at_but_rent_start_not_activated|current_dc_number_null,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2031,TTSPL1973,C4TDTQ2,72,PARTS AVATAR INDIA PRIVATE LIMITED,rented,Dell,Dell Latitude 5490,1250.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,439,TTSPLGR0127,J2WN8S2,72,PARTS AVATAR INDIA PRIVATE LIMITED,rented,Dell,Dell Latitude 7490,1250.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,2286,TTSPL3404,77FY8Y2,48,Pibit Technologies Private Limited,rented,Dell,Dell Latitude 7400 (Touch Screen),3174.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,3213,TTSPL4352,HF5V2Y90CN,48,Pibit Technologies Private Limited,rented,Dell,Apple Macbook Air,6474.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
RENT_START_NULL,1024,TTSPL4892,MH4LP233GM,48,Pibit Technologies Private Limited,rented,Dell,Apple Macbook Pro,9474.00,,,,,,,,rent_start_date_null|no_delivery_date_on_serial_or_dc|current_dc_number_null|no_matching_delivery_challan_found,Will be SKIPPED when generating invoice (requires rent_start_date),
