sheet_row,sheet_ttspl,crm_ttspl,hardware_serial,location,warehouse_status,customer_name,inventory_status,qc_status,floor_ticket,floor_stage,current_dc,warehouse_bin,model,note
62,TTSPL3498,TTSPL3498,34VW3F3,With customer (rented),,PIBIT TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0449,,Dell Dell Latitude 7310,
63,TTSPL3527,TTSPL3527,4K145S2,Warehouse,QC Process · QC1,,in_stock,pending,#1283,QC1,,,Dell Dell Latitude 5490,
64,TTSPL3556,TTSPL3556,2TK02206XW,With customer (rented),,4 PROSPER TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0479,,Dell HP PROBOOK 640 G5,
65,TTSPL3558,TTSPL3558,2TK95006S2,Warehouse,Dead Laptop,,scrapped,dead,,,,,HP PROBOOK 640 G5,
66,TTSPL3575,TTSPL3575,PC1S0L9M,Warehouse,QC Process · Assembly & Software,,returned,pending,#1598,Assembly & Software,DC-000169,,Dell Lenovo Thinkpad X-13,
67,TTSPL3615,TTSPL3615,2TK85003QZ,With customer (rented),,Research Nester Private Limited,rented,out_stock,,,DC/26-27/0391,,HP HP Probook 640 G4,
68,TTSPL3686,TTSPL3686,5CG8528NWG,Warehouse,QC Process · QC1,,returned,pending,#2704,QC1,,,Dell HP Elitebook 840 G5,
69,TTSPL3749,TTSPL3749,5ZX6RV2,With customer (rented),,COSMO BRANDS PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0610,,Dell Dell Latitude 5490,
70,TTSPL3761,TTSPL3761,G8XYYD3,Warehouse,QC Process · QC2,,returned,pending,#2617,QC2,,,Dell Dell Latitude 5420,
71,TTSPL3761,TTSPL3761,G8XYYD3,Warehouse,QC Process · QC2,,returned,pending,#2617,QC2,,,Dell Dell Latitude 5420,Duplicate in sheet
72,TTSPL3781,TTSPL3781,6BQHDB3,With customer (rented),,DROR SERVICES PRIVATE LIMITED,rented,passed,,,DC/26-27/0847,,Dell Dell Latitude 5410,
73,TTSPL3793,TTSPL3793,C4G00F917F,With customer (rented),,REYKLE INDIA PRIVATE LIMITED,rented,passed,,,DC/26-27/1085,,Apple Macbook Pro,
74,TTSPL3817,TTSPL3817,9XG37H2,Warehouse,QC Process · Floor Manager,,returned,pending,#1964,Floor Manager,,,Dell Dell Latitude E5480,
75,TTSPL3869,TTSPL3869,5FMPPC2,Out for repair / vendor,Out for Repair,,out_for_repare,out_for_repare,,,,,Dell Dell Latitude E7470,
76,TTSPL3911,TTSPL3911,41LP7H2,With customer (sold),,B M TECHNOLOGIES,sold,out_stock,,,DC/26-27/0603,,Dell Dell Latitude 7480,
77,TTSPL3944,TTSPL3944,D066QN2,With customer (rented),,Digital Eco Innovision Private Limited,rented,passed,,,DC/26-27/1141,,Dell Latitude 7490,
78,TTSPL4047,TTSPL4047,H5L6763,Warehouse,QC Process · Chip Level Repair,,returned,pending,#1584,Chip Level Repair,DC-000911,,Dell Dell Latitude 3410,
79,TTSPL4080,TTSPL4080,7J6R763,Warehouse,QC Pending,,in_stock,qc_pending,,,,,Dell Dell Latitude 5310,
80,TTSPL4118,TTSPL4118,JL6S303,With customer (rented),,Upila Digital,rented,passed,,,DC/26-27/1166,,Dell Latitude 5310,
81,TTSPL4161,TTSPL4161,G1JV3F3,Warehouse,QC Process · QC1,,returned,pending,#2706,QC1,,,Dell Dell Latitude 7310,
82,TTSPL4186,TTSPL4186,9RS1F63,Warehouse,QC Pending,,in_stock,qc_pending,,,,,Dell Dell Latitude 5310,
83,TTSPL4226,TTSPL4226,9NS0BC3,With customer (rented),,Upila Digital,rented,passed,,,DC/26-27/0935,,Dell Latitude 5410,
84,TTSPL4226,TTSPL4226,9NS0BC3,With customer (rented),,Upila Digital,rented,passed,,,DC/26-27/0935,,Dell Latitude 5410,Duplicate in sheet
85,TTSPL4245,TTSPL4245,5M1N7D3,With customer (rented),,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,out_stock,,,DC-003880,,Dell Dell Latitude 5410,
86,TTSPL4276,TTSPL4276,1DF7S93,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-003902,,Dell Dell Latitude 5320,
87,TTSPL4280,TTSPL4280,DQPXY962N5,Out for repair / vendor,Out for Repair,,in_repair,out_for_repair,,,VRDC/26-27/0012,,Dell Apple Macbook Air,
88,TTSPL4302,TTSPL4302,DR4ZR93,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001906,,Dell Dell Latitude 5320,
89,TTSPL4314,TTSPL4314,JC7J3B3,With customer (rented),,RATHAM TECHNOLOGIES LLP,rented,pending,,,DC-000923,,Dell Dell Latitude 5320,
90,TTSPL4325,TTSPL4325,PF2R16LG,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001798,,Dell Lenovo Thinkpad T14,
91,TTSPL4327,TTSPL4327,PF2R3G5S,Warehouse,QC Process · QC2,,returned,pending,#2542,QC2,,,Dell Lenovo Thinkpad T14,
92,TTSPL4329,TTSPL4329,PF2R3LT8,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001799,,Dell Lenovo Thinkpad T14,
93,TTSPL4332,TTSPL4332,PF2R1Q0K,With customer (rented),,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0358,,Dell Lenovo Thinkpad T14,
94,TTSPL4337,TTSPL4337,PF2R3LSM,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001809,,Dell Lenovo Thinkpad T14,
95,TTSPL4338,TTSPL4338,PF2R3K6T,With customer (rented),,IN KNOW TECH PRIVATE LIMITED,rented,passed,,,DC/26-27/0895,,Dell Lenovo Thinkpad T14,
96,TTSPL4341,TTSPL4341,PF2R31SD,With customer (rented),,QUICKREPLY TECHNOLOGIES INDIA PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0753,,Dell Lenovo Thinkpad T14,
97,TTSPL4374,TTSPL4374,PC2830AM,Warehouse,QC Process · QC1,,in_stock,pending,#1410,QC1,DC-001817,,Dell Lenovo Thinkpad X-13,
98,TTSPL4380,TTSPL4380,PC28HPYZ,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0779,,Dell Lenovo Thinkpad X-13,
99,TTSPL4381,TTSPL4381,PC261P45,With customer (rented),,ZYKRR TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1102,,Lenovo Thinkpad X-13,
100,TTSPL4383,TTSPL4383,PC28VZCT,Warehouse,QC Process · QC1,,returned,pending,#2191,QC1,,,Dell Lenovo Thinkpad X-13,
101,TTSPL4384,TTSPL4384,PC28VS3X,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001816,,Dell Lenovo Thinkpad X-13,
102,TTSPL4385,TTSPL4385,PC28HQ2R,With customer (rented),,EXOTALENT CONSULTANCY SERVICES LLP,rented,passed,,,DC/26-27/0197,,Lenovo Lenovo Thinkpad X-13,
103,TTSPL4392,TTSPL4392,9WW8BL3,Warehouse,QC Process,,returned,pending,,,,,Dell Dell Precision 3561,
104,TTSPL4396,TTSPL4396,PC261MHD,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001819,,Dell Lenovo Thinkpad X-13,
105,TTSPL4397,TTSPL4397,PC2830BV,With customer (rented),,QUICKREPLY TECHNOLOGIES INDIA PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0765,,Dell Lenovo Thinkpad X-13,
106,TTSPL4400,TTSPL4400,PF2AZAZC,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001998,,Dell Lenovo Thinkpad T490,
107,TTSPL4408,TTSPL4408,PF26285B,Warehouse,Dead Laptop,,scrapped,dead,,,,,Dell Lenovo Thinkpad T490,
108,TTSPL4419,TTSPL4419,PF25LNWK,With customer (rented),,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,out_stock,,,,,Dell Lenovo Thinkpad T490,
109,TTSPL4440,TTSPL4440,PF2AK864,With customer (rented),,Elysium Labs Pvt Ltd,rented,out_stock,,,DC-003689,,Dell Lenovo Thinkpad L14,
110,TTSPL4451,TTSPL4451,PF2ALD5R,Warehouse,QC Process · Diagnosis,,returned,pending,#2539,Diagnosis,,,Dell Lenovo Thinkpad L14,
111,TTSPL4453,TTSPL4453,PF2AM39T,With customer (rented),,Mercury Solutions Limited,rented,passed,,,DC/26-27/0894,,Dell Lenovo Thinkpad L14,
112,TTSPL4513,TTSPL4513,9XW17G3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1089,,Dell Latitude 5420 (Touch Screen),
113,TTSPL4513,TTSPL4513,9XW17G3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1089,,Dell Latitude 5420 (Touch Screen),Duplicate in sheet
114,TTSPL4514,TTSPL4514,434S9K3,With customer (rented),,NUTRITIONALAB PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0350,,Dell Dell Latitude 5420 (Touch Screen),
115,TTSPL4528,TTSPL4528,99640J3,With customer (rented),,KULSYS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1135,,Dell Dell Latitude 5420,
116,TTSPL4528,TTSPL4528,99640J3,With customer (rented),,KULSYS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1135,,Dell Dell Latitude 5420,Duplicate in sheet
117,TTSPL4536,TTSPL4536,HPX86J3,With customer (rented),,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,passed,,,DC/26-27/1160,,Dell Latitude 5420,
118,TTSPL4580,TTSPL4580,53GN3F3,With customer (rented),,NUTRITIONALAB PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0590,,Dell Dell Latitude 5420 (Touch Screen),
119,TTSPL4582,TTSPL4582,39P2BC3,Warehouse,QC Process · Assembly & Software,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,returned,pending,#1212,Assembly & Software,DC-001840,,Dell Dell Latitude 5420,
120,TTSPL4583,TTSPL4583,3DFF2F3,With customer (rented),,Synergie Network Engineering India Pvt Ltd,rented,passed,,,DC/26-27/1081,,Dell Latitude 5420,
121,TTSPL4585,TTSPL4585,8JJMNQ3,Warehouse,QC Process · Assembly & Software,,in_stock,pending,#1790,Assembly & Software,,,Dell Dell Latitude 5420,
122,TTSPL4586,TTSPL4586,15HB4M3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0510,,Dell Dell Latitude 5420,
123,TTSPL4587,TTSPL4587,2W3C2F3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001833,,Dell Dell Latitude 5420,
124,TTSPL4588,TTSPL4588,D6D2BC3,Warehouse,Dead Laptop,,scrapped,dead,,,,,Dell Dell Latitude 5420,
125,TTSPL4592,TTSPL4592,5SYC2F3,With customer (rented),,Synergie Network Engineering India Pvt Ltd,rented,passed,,,DC/26-27/1081,,Dell Dell Latitude 5420,
126,TTSPL4593,TTSPL4593,3BYP2F3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001841,,Dell Dell Latitude 5420,
127,TTSPL4598,TTSPL4598,7MVN3F3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0871,,Dell Dell Latitude 5420,
128,TTSPL4601,TTSPL4601,FYC2BC3,With customer (rented),,ERA BOTANICS PRIVATE LIMITED,rented,passed,,,DC/26-27/0905,,Dell Dell Latitude 5420,
129,TTSPL4601,TTSPL4601,FYC2BC3,With customer (rented),,ERA BOTANICS PRIVATE LIMITED,rented,passed,,,DC/26-27/0905,,Dell Dell Latitude 5420,Duplicate in sheet
130,TTSPL4602,TTSPL4602,7H518C3,With customer (rented),,ZYKRR TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0742,,Dell Dell Latitude 5420,
131,TTSPL4602,TTSPL4602,7H518C3,With customer (rented),,ZYKRR TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0742,,Dell Dell Latitude 5420,Duplicate in sheet
132,TTSPL4603,TTSPL4603,63TP3F3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0530,,Dell Dell Latitude 5420 (Touch Screen),
133,TTSPL4604,TTSPL4604,91RH2F3,With customer (rented),,Synergie Network Engineering India Pvt Ltd,rented,pending,,,DC/26-27/0866,,Dell Dell Latitude 5420,
134,TTSPL4604,TTSPL4604,91RH2F3,With customer (rented),,Synergie Network Engineering India Pvt Ltd,rented,pending,,,DC/26-27/0866,,Dell Dell Latitude 5420,Duplicate in sheet
135,TTSPL4605,TTSPL4605,2W2P8G3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC-001837,,Dell Dell Latitude 5420,
136,TTSPL4606,TTSPL4606,G249PQ3,With customer (rented),,TECHSUR INNOVATIONS PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0430,,Dell Dell Latitude 5420,
137,TTSPL4619,TTSPL4619,905MNQ3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0552,,Dell Dell Latitude 5420 (Touch Screen),
138,TTSPL4632,TTSPL4632,6CG08C3,With customer (rented),,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,rented,passed,,,DC/26-27/0950,,Dell Latitude 5420 (Touch Screen),
139,TTSPL4634,TTSPL4634,62JMNQ3,With customer (rented),,Synergie Network Engineering India Pvt Ltd,rented,out_stock,,,DC/26-27/0595,,Dell Dell Latitude 5420 (Touch Screen),
140,TTSPL4638,TTSPL4638,5HSWCK3,With customer (rented),,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,passed,,,DC/26-27/0355,,Dell Dell Latitude 5420,
141,TTSPL4639,TTSPL4639,7MRPBK3,Warehouse,Dead Laptop,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,scrapped,dead,,,DC-001922,,Dell Dell Latitude 5420,
142,TTSPL4640,TTSPL4640,3RRPBK3,With customer (rented),,PARTS AVATAR INDIA PRIVATE LIMITED,rented,passed,,,DC/26-27/0865,,Dell Dell Latitude 5420,
143,TTSPL4657,TTSPL4657,66RM3F3,With customer (rented),,KULSYS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0842,,Dell Dell Latitude 5420 (Touch Screen),
144,TTSPL4657,TTSPL4657,66RM3F3,With customer (rented),,KULSYS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0842,,Dell Dell Latitude 5420 (Touch Screen),Duplicate in sheet
145,TTSPL4658,TTSPL4658,3S4G2F3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001903,,Dell Dell Latitude 5420 (Touch Screen),
146,TTSPL4658,TTSPL4658,3S4G2F3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001903,,Dell Dell Latitude 5420 (Touch Screen),Duplicate in sheet
147,TTSPL4660,TTSPL4660,9X05BC3,With customer (rented),,ZYKRR TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0707,,Dell Dell Latitude 5420 (Touch Screen),
148,TTSPL4667,TTSPL4667,9T1N3F3,With customer (rented),,LEEWAYHERTZ TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-003669,,Dell Dell Latitude 5420 (Touch Screen),
149,TTSPL4673,TTSPL4673,81TTPN3,Warehouse,QC Process · QC1,,returned,pending,#2619,QC1,,,Dell Dell Latitude 5420,
150,TTSPL4673,TTSPL4673,81TTPN3,Warehouse,QC Process · QC1,,returned,pending,#2619,QC1,,,Dell Dell Latitude 5420,Duplicate in sheet
151,TTSPL4673,TTSPL4673,81TTPN3,Warehouse,QC Process · QC1,,returned,pending,#2619,QC1,,,Dell Dell Latitude 5420,Duplicate in sheet
152,TTSPL4698,TTSPL4698,PF32HEZK,With customer (rented),,SelectAstro Private Limited,rented,out_stock,,,DC-000108,,Dell Lenovo Thinkpad T14,
153,TTSPL4741,TTSPL4741,71660J3,With customer (rented),,NUTRITIONALAB PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0360,,Dell Dell Latitude 5420,
154,TTSPL4745,TTSPL4745,F5060J3,With customer (demo),,Truetech Services Pvt. Ltd.,on_demo,passed,,,DC/26-27/1057,,Dell Latitude 5420,
155,TTSPL4751,TTSPL4751,D2NVZH3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0981,,Dell Latitude 5420,
156,TTSPL4755,TTSPL4755,DK970J3,Warehouse,QC Process · QC1,,returned,pending,#2186,QC1,,,Dell Dell Latitude 5420,
157,TTSPL4764,TTSPL4764,HZ2XZH3,Warehouse,QC Process · Diagnosis,,returned,pending,#2694,Diagnosis,,,Dell Dell Latitude 5420,
158,TTSPL4770,TTSPL4770,4FXWZH3,Warehouse,QC Process · Diagnosis,,in_stock,pending,#1342,Diagnosis,DC/26-27/0535,,Dell Dell Latitude 5420,
159,TTSPL4773,TTSPL4773,6TJ60J3,With customer (rented),,ZYKRR TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0707,,Dell Dell Latitude 5420,
160,TTSPL4790,TTSPL4790,847F1J3,With customer (rented),,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,rented,passed,,,DC/26-27/1082,,Dell Latitude 5420,
161,TTSPL4794,TTSPL4794,8F7F1J3,With customer (rented),,Elysium Labs Pvt Ltd,rented,out_stock,,,DC/26-27/0573,,Dell Dell Latitude 5420,
162,TTSPL4796,TTSPL4796,KMKYF9-MIDS17284L3GU,Warehouse,in_used,,in_stock,in_used,,,,,,
163,TTSPL4797,TTSPL4797,7RTXZH3,Warehouse,QC Process · QC1,,in_stock,pending,#2503,QC1,DC/26-27/0659,,Dell Dell Latitude 5420,
164,TTSPL4807,TTSPL4807,H9R60J3,With customer (rented),,SAAN GLOBAL LIMITED,rented,passed,,,DC/26-27/1033,,Dell Latitude 5420,
165,TTSPL4809,TTSPL4809,DYTXZH3,With customer (rented),,RATHAM TECHNOLOGIES LLP,rented,passed,,,DC/26-27/0800,,Dell Dell Latitude 5420,
166,TTSPL4811,TTSPL4811,GZTXZH3,With customer (rented),,Synergie Network Engineering India Pvt Ltd,rented,passed,,,DC/26-27/1081,,Dell Latitude 5420,
167,TTSPL4823,TTSPL4823,FDGVZH3,With customer (rented),,KULSYS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0784,,Dell Dell Latitude 5420,
168,TTSPL4823,TTSPL4823,FDGVZH3,With customer (rented),,KULSYS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0784,,Dell Dell Latitude 5420,Duplicate in sheet
169,TTSPL4824,TTSPL4824,427F1J3,With customer (rented),,ASL GLOBAL ADVISORS PRIVATE LIMITED,rented,out_stock,,,DC-002789,,Dell Dell Latitude 5420,
170,TTSPL4825,TTSPL4825,JGGXZH3,Warehouse,QC Process · QC1,,returned,pending,#2733,QC1,,,Dell Dell Latitude 5420,Duplicate in sheet
171,TTSPL4835,TTSPL4835,DG0WZH3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001881,,Dell Dell Latitude 5420,
172,TTSPL4836,TTSPL4836,2HXWZH3,Warehouse,QC Process · Floor Manager,,returned,pending,#2350,Floor Manager,,,Dell Dell Latitude 5420,
173,TTSPL4839,TTSPL4839,2Y370J3,Warehouse,QC Process · QC1,,in_stock,pending,#1270,QC1,DC-002702,,Dell Dell Latitude 5420,
174,TTSPL4842,TTSPL4842,JWX60J3,With customer (rented),,RATHAM TECHNOLOGIES LLP,rented,out_stock,,,DC/26-27/0361,,Dell Dell Latitude 5420,
175,TTSPL4856,TTSPL4856,3V22GB3,Warehouse,QC Process · QC1,,returned,pending,#2142,QC1,,,Dell Dell Latitude 5410,
176,TTSPL4867,TTSPL4867,PF2C80J5,With customer (rented),,URBANLOGIX GLOBAL INDIA PRIVATE LIMITED,rented,out_stock,,,DC-002364,,Dell Lenovo Thinkpad L14,
177,TTSPL4890,TTSPL4890,LT4HMHNH2F,With customer (rented),,NUTRITIONALAB PRIVATE LIMITED,rented,out_stock,,,DC-003720,,Dell Apple Macbook Pro,
178,TTSPL4892,TTSPL4892,MH4LP233GM,With customer (rented),,PIBIT TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1150,,Apple Macbook Pro,
179,TTSPL4893,TTSPL4893,BATTERY 11,Warehouse,in_used,,in_stock,in_used,,,,,,
180,TTSPL4904,TTSPL4904,CFLLVT2,With customer (rented),,PARTS AVATAR INDIA PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0646,,Dell Dell Latitude 5490,
181,TTSPL4947,TTSPL4947,PC1FBABY,With customer (rented),,4 PROSPER TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0453,,Dell Lenovo Thinkpad T490s,
182,TTSPL4967,TTSPL4967,PF54Q5CF,With customer (rented),,Upila Digital,rented,out_stock,,,DC/26-27/0592,,Dell Lenovo V14 (Gen 3),
183,TTSPL4970,TTSPL4970,PG04GTK3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001885,,Dell Lenovo V14 (Gen 3),
184,TTSPL4972,TTSPL4972,PG04FH2R,With customer (sold),,B M TECHNOLOGIES,sold,out_stock,,,DC/26-27/0527,,Dell Lenovo V14 (Gen 3),
185,TTSPL4975,TTSPL4975,PF55GAWA,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-001887,,Dell Lenovo V14 (Gen 3),
186,TTSPL4976,TTSPL4976,PG04FGYW,With customer (sold),,B M TECHNOLOGIES,sold,out_stock,,,DC/26-27/0738,,Dell Lenovo V14 (Gen 3),
187,TTSPL4994,TTSPL4994,PG04GTFZ,With customer (sold),,B M TECHNOLOGIES,sold,out_stock,,,DC/26-27/0526,,Dell Lenovo V14 (Gen 3),
188,TTSPL5001,TTSPL5001,PG04FE32,Warehouse,QC Process · Floor Manager,,returned,pending,#2434,Floor Manager,,,Dell Lenovo V14 (Gen 3),
189,TTSPL5001,TTSPL5001,PG04FE32,Warehouse,QC Process · Floor Manager,,returned,pending,#2434,Floor Manager,,,Dell Lenovo V14 (Gen 3),Duplicate in sheet
190,TTSPL5002,TTSPL5002,PG04FGYM,With customer (sold),,B M TECHNOLOGIES,sold,out_stock,,,DC/26-27/0526,,Dell Lenovo V14 (Gen 3),
191,TTSPL5027,TTSPL5027,DP3DPV2,With customer (rented),,ATTITUDE EVENTS PRIVATE LIMITED,rented,out_stock,,,DC-003873,,Dell Dell Latitude 5490,
192,TTSPL5033,TTSPL5033,PC164BDW,Warehouse,QC Process,,returned,pending,,,,,Dell Lenovo Thinkpad T480s,
193,TTSPL5037,TTSPL5037,PC1FBACQ,With customer (rented),,ROADEXPRESS TECHNOLOGY PRIVATE LIMITED,rented,pending,,,,,Dell Lenovo Thinkpad T490s,
194,TTSPL5061,TTSPL5061,PF56GLNF,Warehouse,QC Process · QC1,,returned,pending,#2285,QC1,,,Dell Lenovo V14 (Gen 3),
195,TTSPL5108,TTSPL5108,PF53B3YJ,With customer (rented),,TECHSUR INNOVATIONS PRIVATE LIMITED,rented,out_stock,,,DC-002401,,Dell Lenovo V14 (Gen 3),
196,TTSPL5111,TTSPL5111,PG04GTK5,With customer (sold),,B M TECHNOLOGIES,sold,out_stock,,,DC/26-27/0526,,Dell Lenovo V14 (Gen 3),
197,TTSPL5116,TTSPL5116,PG04GTJM,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1084,,Lenovo V14 (Gen 3) 82TS,
198,TTSPL5118,TTSPL5118,PG04GTEC,Warehouse,QC Process · QC1,,returned,pending,#2615,QC1,,,Dell Lenovo V14 (Gen 3),
199,TTSPL5119,TTSPL5119,PF55GD2P,With customer (sold),,B M TECHNOLOGIES,sold,out_stock,,,DC/26-27/0728,,Dell Lenovo V14 (Gen 3),
200,TTSPL5136,TTSPL5136,5CD211D3Y5,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0995,,HP Probook 440 G8,
201,TTSPL5137,TTSPL5137,5CD211D3YC,With customer (rented),,PIBIT TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-000313,,Dell HP Probook 440 G8,
202,TTSPL5138,TTSPL5138,5CD211D3WJ,With customer (rented),,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,passed,,,DC/26-27/0334,,Dell HP Probook 440 G8,
203,TTSPL5142,TTSPL5142,5CD211D3KJ,Warehouse,QC Process,,returned,pending,,,,,Dell HP Probook 440 G8,
204,TTSPL5161,TTSPL5161,PF367QND,With customer (rented),,Quest Solutions Private Limited,rented,out_stock,,,DC/26-27/0625,,Dell Lenovo Thinkpad T14,
205,TTSPL5171,TTSPL5171,PG02Y0DW,With customer (rented),,Optimizing Resources Private Limited,rented,out_stock,,,DC-002233,,Dell Lenovo Thinkpad E14 (Gen 2),
206,TTSPL5185,TTSPL5185,PG02Y0BW,Warehouse,QC Pending,,in_stock,qc_pending,,,,,Dell Lenovo Thinkpad E14 (Gen 2),
207,TTSPL5224,TTSPL5224,JWCX3T97YG,With customer (rented),,RHOPHI ANALYTICS LLP (Punjab),rented,passed,,,DC/26-27/0932,,Apple Macbook Air,
208,TTSPL5236,TTSPL5236,PF3D20BN,With customer (rented),,CDBASE SOLUTIONS INDIA PRIVATE LIMITED,rented,passed,,,DC-003885,,Dell Lenovo Thinkpad E14 (Gen 2),
209,TTSPL5272,TTSPL5272,PF3DNCLC,With customer (sold),,B M TECHNOLOGIES,sold,out_stock,,,DC/26-27/0529,,Dell Lenovo Thinkpad E14,
210,TTSPL5292,TTSPL5292,PF1T2HDS,With customer (rented),,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0402,,Dell Lenovo Thinkpad T14,
211,TTSPL5293,TTSPL5293,PF1SV0AJ,With customer (rented),,DROR SERVICES PRIVATE LIMITED,rented,out_stock,,,DC/26-27/0502,,Dell Lenovo Thinkpad T14,
212,TTSPL5322,TTSPL5322,FHS4JG3,With customer (rented),,RATHAM TECHNOLOGIES LLP,rented,out_stock,,,DC-000952,,Dell Dell Latitude 3420,
213,TTSPL5331,TTSPL5331,5CD1315YMK,Warehouse,QC Process · Diagnosis,,returned,pending,#2077,Diagnosis,,,Dell HP Probook 440 G8,
214,TTSPL5337,TTSPL5337,H7MXWT3,Warehouse,QC Process · Floor Manager,,returned,pending,#2664,Floor Manager,,,Dell Dell Latitude 5430,
215,TTSPL5339,TTSPL5339,45YWMS3,Warehouse,QC Process · QC1,,returned,pending,#2614,QC1,,,Dell Dell Latitude 5430,
216,TTSPL5353,TTSPL5353,5CD1315XB1,With customer (rented),,COSMOFEED TECHNOLOGIES PVT LTD,rented,out_stock,,,DC/26-27/0760,,Dell HP Probook 440 G8,
217,TTSPL5396,TTSPL5396,5CHVZH3,Warehouse,QC Process · Floor Manager,,returned,pending,#2715,Floor Manager,,,Dell Dell Latitude 5420 (Touch Screen),
