sheet_row,sheet_ttspl,crm_ttspl,hardware_serial,location,warehouse_status,customer_name,inventory_status,qc_status,floor_ticket,floor_stage,current_dc,warehouse_bin,model,note
305,TTSPL6780,TTSPL6780,8PN6V93,Warehouse,QC Process · QC1,,returned,pending,#2537,QC1,,,Dell Dell Latitude 3410,
306,TTSPL6801,TTSPL6801,3X89ZD3,With customer (rented),,RATHAM TECHNOLOGIES LLP,rented,out_stock,,,,,Dell Dell Latitude 5420,
307,TTSPL6802,TTSPL6802,F2WT2D3,Warehouse,QC Process · Floor Manager,,returned,pending,#2496,Floor Manager,,,Dell Dell Latitude 5420,
308,TTSPL6809,TTSPL6809,G0BK6D3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/0899,,Dell Dell Latitude 5420,
309,TTSPL6811,TTSPL6811,J7QB043,With customer (rented),,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,passed,,,DC/26-27/0809,,Dell Dell Latitude 5420,
310,TTSPL6815,TTSPL6815,B4MCZH3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1093,,Dell Latitude 5420,
311,TTSPL6821,TTSPL6821,PG03D53Y,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1092,,Lenovo V15G3,
312,TTSPL6823,TTSPL6823,5CG2132RHL,With customer (rented),,SPNN BUSINESS SERVICES PRIVATE LIMITED,rented,passed,,,DC/26-27/1153,,HP Elitebook 840 G8,
313,TTSPL6834,TTSPL6834,5CG212DZKC,With customer (rented),,Mercury Solutions Limited,rented,passed,,,DC/26-27/0956,,Dell Dell HP Elitebook 840 G8,
314,TTSPL6834,TTSPL6834,5CG212DZKC,With customer (rented),,Mercury Solutions Limited,rented,passed,,,DC/26-27/0956,,Dell Dell HP Elitebook 840 G8,Duplicate in sheet
315,TTSPL6848,TTSPL6848,5CG2010G23,With customer (rented),,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,passed,,,DC/26-27/0584,,Dell HP Elitebook 840 G8,
316,TTSPL6868,TTSPL6868,5CG202870G,Warehouse,QC Process · QC1,,returned,pending,#2705,QC1,,,Dell HP Elitebook 840 G8,
317,TTSPL6879,TTSPL6879,5CG3050KFT,With customer (rented),,GRUNMECH TECHNOLOGIES PRIVATE LIMITED,rented,passed,,,DC/26-27/1045,,HP Elitebook 840 G8,
318,TTSPL6883,TTSPL6883,5CG3050JKJ,With customer (rented),,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,passed,,,DC/26-27/0848,,Dell HP Elitebook 840 G8,
319,TTSPL6892,TTSPL6892,F3Z31F3,Warehouse,QC Process · QC1,,returned,pending,#2533,QC1,,,Dell Dell Latitude 5420,
320,TTSPL6895,TTSPL6895,5CG2133RJH,With customer (rented),,BIODEAL PHARMACEUTICALS LIMITED,rented,out_stock,,,DC/26-27/0630,,Dell HP Elitebook 840 G8,
321,TTSPL6932,TTSPL6932,5CG20286Z6,With customer (rented),,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,passed,,,DC/26-27/0762,,Dell HP Elitebook 840 G8,
322,TTSPL6933,TTSPL6933,5CG3050K9Y,With customer (rented),,RATHAM TECHNOLOGIES LLP,rented,out_stock,,,DC/26-27/0757,,Dell HP Elitebook 840 G8,
323,TTSPL6950,TTSPL6950,7TMT0T3,With customer (rented),,Girish Srikrishna Paranjpe,rented,passed,,,DC/26-27/0845,,Dell Dell Latitude 7330,
324,TTSPL6954,TTSPL6954,43PF4G3,With customer (rented),,Optimizing Resources Private Limited,rented,passed,,,DC/26-27/1168,,Dell Latitude 7420,
325,TTSPL6956,TTSPL6956,B3T66G3,Warehouse,QC Pending,,in_stock,qc_pending,,,,,Dell Dell Latitude 7420,
326,TTSPL6959,TTSPL6959,4TFB4G3,With customer (rented),,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,passed,,,DC/26-27/0484,,Dell Dell Latitude 7420,
327,TTSPL6964,TTSPL6964,D9XR0T3,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,,,Dell Dell Latitude 7420,
328,TTSPL6969,TTSPL6969,1080C93,With customer (rented),,FLEET LABS TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-002937,,Dell Dell Latitude 7420,
329,TTSPL6988,TTSPL6988,5CG3050JNQ,With customer (demo),,Truetech Services Pvt. Ltd.,on_demo,out_stock,,,DC/26-27/0767,,HP HP Elitebook 840 G8,
330,TTSPL6989,TTSPL6989,5CG2028CDZ,With customer (rented),,ASCENT RISK & RESILIENCE SOFTWARE PRIVATE LIMITED,rented,passed,,,DC/26-27/0762,,HP HP Elitebook 840 G8,
