customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet,customer_match_method,total_per_month_rate_sheet,matched_assets,unmatched_sheet_assets,crm_active_not_on_sheet,rate_match_count,rate_mismatch_count,asset_count_aligned,count_diff_sheet_minus_crm
BPB ONLINE LLP,47,BPB Online LLP,20,20,36578,name,32980,20,0,0,20,0,YES,0
BLUEJAY WORKTECH PRIVATE LIMITED,117,BLUEJAY WORKTECH PRIVATE LIMITED,24,24,36078,name,36078,24,0,0,24,0,YES,0
ATTITUDE EVENETS PRIVATE LIMITED,115,ATTITUDE EVENTS PRIVATE LIMITED,21,21,36066.94,name,37209,20,1,1,20,0,YES,0
Era Botanics private Limited,33,ERA BOTANICS PRIVATE LIMITED,18,17,35570.58,name,34384,17,0,1,17,0,NO,-1
GRUNMECH TECHNOLOGIES PRIVATE LIMITED,23,GRUNMECH TECHNOLOGIES PRIVATE LIMITED,13,13,35087,name,35087,13,0,0,13,0,YES,0
Upila Digital,28,Upila Digital,12,12,34924.35,name,31990,12,0,0,12,0,YES,0
People Staffing Solutions,7,PEOPLE STAFFING SOLUTIONS,35,35,34426,name,34426,35,0,0,35,0,YES,0
DROR SERVICES PRIVATE LIMITED,185,DROR SERVICES PRIVATE LIMITED,20,19,33981,name,33981,19,0,1,19,0,NO,-1
MERVICE INFOTECH PRIVATE LIMITED,196,MERVICE INFOTECH PRIVATE LIMITED,19,19,33854.97,name,28681,19,0,0,19,0,YES,0
4 PROSPER TECHNOLOGIES PRIVATE LIMITED,265,4 PROSPER TECHNOLOGIES PRIVATE LIMITED,23,23,33397,name,33397,23,0,0,23,0,YES,0
CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,113,CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED,17,17,33079.38,name,32383,17,0,0,17,0,YES,0
Pernimius Financial Technologies Pvt Ltd,8,PERNIMIUS FINANCIAL TECHNOLOGIES PRIVATE LIMITED,19,19,32770.36,name,32190,19,0,0,19,0,YES,0
EPIC (INDIA) TOURS AND EVENTS PRIVATE LIMITED,119,EPIC (INDIA) TOURS AND EVENTS PRIVATE LIMITED,12,12,32562.68,name,32395,12,0,0,12,0,YES,0
MNR Solutions Pvt. Ltd.,178,MNR Solutions Pvt. Ltd.,30,28,32446.13,name,30230,28,0,2,28,0,NO,-2
All India Asian Educational Foundation,154,ALL INDIA ASIAN EDUCATIONAL FOUNDATION,20,20,31980,name,31980,20,0,0,20,0,YES,0
NOTUS SERVICES PRIVATE LIMITED,61,NOTUS SERVICES PRIVATE LIMITED,19,20,31197.2,name,31281,19,1,0,19,0,NO,1
Mobifly Brain Box,143,BRAINBOX NETWORK,20,17,30141,inferred_from_ttspl,28341,16,1,5,15,1,NO,-3
KULSYS TECHNOLOGIES PRIVATE LIMITED,36,KULSYS TECHNOLOGIES PRIVATE LIMITED,8,8,30005.68,name,27296,8,0,0,8,0,YES,0
EVENTIVE COMMUNICATIONS LLP,270,EVENTIVE COMMUNICATIONS LLP,12,12,29788,name,29788,12,0,0,12,0,YES,0
SARTHHAKAI PRIVATE LIMITED,39,SARTHHAKAI PRIVATE LIMITED,5,5,28986,name,28986,5,0,0,5,0,YES,0
Pas Digital Pvt Ltd,62,Pas Digital Pvt Ltd,14,14,28809,name,28809,14,0,0,14,0,YES,0
