customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet
KULSYS TECHNOLOGIES PRIVATE LIMITED,36,KULSYS TECHNOLOGIES PRIVATE LIMITED,8,8,30005.68
EVENTIVE COMMUNICATIONS LLP,270,EVENTIVE COMMUNICATIONS LLP,12,12,29788
SARTHHAKAI PRIVATE LIMITED,39,SARTHHAKAI PRIVATE LIMITED,5,5,28986
Pas Digital Pvt Ltd,62,Pas Digital Pvt Ltd,14,14,28809
ASL GLOBAL ADVISORS PRIVATE LIMITED,198,ASL GLOBAL ADVISORS PRIVATE LIMITED,13,12,28788
DIGITAL NIRVANA INFORMATION SYSTEMS INDIA PRIVATE LIMITED,30,Digital Nirvana Information Systems Pvt Ltd,11,11,28234.92
IMSUCCESS PRIVATE LIMITED,50,IMSUCCESS PRIVATE LIMITED,5,5,27949
BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,232,BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,23,23,27248
Indicold pvt ltd.,5,Indicold Private Limited (HR),12,12,25789
BMRV Engineering Consultants LLP,137,BMRV Engineering Consultants LLP,13,13,25788
Clanify Media Private Limited,138,Clanify Media Private Limited,16,16,25155.3
TOWN CONTACTS TECHNOLOGIES PRIVATE LIMITED,91,Town Contact Technologies Private Limited,12,12,23488
SAAN GLOBAL LIMITED,271,SAAN GLOBAL LIMITED,8,8,23379.04
IIOT INNOVATION Private Limited,214,IIOT INNOVATION PRIVATE LIMITED,11,12,23278.68
Trailytics Global Services Private Limited,10,Trailytics Global Services Private Limited,8,8,22583
TRIPOCLAN TRAVEL PRIVATE LIMITED,45,TRIPOCLAN TRAVEL PRIVATE LIMITED,12,12,22289
ELEVONDATA LABS PRIVATE LIMITED,161,ELEVONDATA LABS PRIVATE LIMITED,9,9,22091
CoreOps.AI,970, CoreOps.AI,2,2,22046.32
