serial_number,ttspl,customer,so,dc,customer_price,delivered_ist,updated_ist,brand,model
PF3C6Z1R,TTSPL5617,B M TECHNOLOGIES,SO/26-27/0568,DC/26-27/0586,20763.00,2026-07-09 12:28:14.878,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad E14
41LP7H2,TTSPL3911,B M TECHNOLOGIES,SO/26-27/0586,DC/26-27/0603,10593.00,2026-07-09 12:28:14.885,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7480
R913GZ70,TTSPL7170,B M TECHNOLOGIES,SO/26-27/0600,DC/26-27/0614,19492.00,2026-07-09 12:28:14.819,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ73,TTSPL7235,B M TECHNOLOGIES,SO/26-27/0600,DC/26-27/0614,19492.00,2026-07-09 12:28:14.834,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ9C,TTSPL7230,B M TECHNOLOGIES,SO/26-27/0600,DC/26-27/0614,19492.00,2026-07-09 12:28:14.827,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZD9,TTSPL7211,B M TECHNOLOGIES,SO/26-27/0600,DC/26-27/0614,19492.00,2026-07-09 12:28:14.822,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZH0,TTSPL7252,B M TECHNOLOGIES,SO/26-27/0600,DC/26-27/0614,19492.00,2026-07-09 12:28:14.816,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
4DPVMF2,TTSPL2101,B M TECHNOLOGIES,SO/26-27/0608,DC/26-27/0621,13559.00,2026-07-09 12:28:14.864,2026-07-31 02:16:40.715162,Dell,Dell Latitude 5490
9V7TJC2,TTSPL3019,B M TECHNOLOGIES,SO/26-27/0608,DC/26-27/0621,10593.00,2026-07-09 12:28:14.86,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7470
45YXZF2,TTSPL2837,B M TECHNOLOGIES,SO/26-27/0610,DC/26-27/0623,10593.00,2026-07-09 12:28:14.852,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7470
DK3JPH2,TTSPL2814,B M TECHNOLOGIES,SO/26-27/0621,DC/26-27/0633,10593.00,2026-07-09 12:28:14.846,2026-07-31 02:16:40.715162,Dell,Dell Latitude E5480
R913GZ5M,TTSPL7213,B M TECHNOLOGIES,SO/26-27/0635,DC/26-27/0647,19492.00,2026-07-09 12:28:14.813,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZFV,TTSPL7186,B M TECHNOLOGIES,SO/26-27/0635,DC/26-27/0647,19492.00,2026-07-09 12:28:14.808,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZFX,TTSPL7237,B M TECHNOLOGIES,SO/26-27/0635,DC/26-27/0647,19492.00,2026-07-09 12:28:14.81,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ50,TTSPL7155,B M TECHNOLOGIES,SO/26-27/0637,DC/26-27/0649,19492.00,2026-07-09 12:28:14.804,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R914RLPP,TTSPL7154,B M TECHNOLOGIES,SO/26-27/0639,DC/26-27/0650,19492.00,2026-07-09 12:28:14.8,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
BHDM7H2,TTSPL2798,B M TECHNOLOGIES,SO/26-27/0646,DC/26-27/0657,10593.00,2026-07-09 12:28:14.79,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7470
FJF50J3,TTSPL6756,B M TECHNOLOGIES,SO/26-27/0646,DC/26-27/0657,20763.00,2026-07-09 12:28:14.792,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7420
BQFF1X2,TTSPL3458,B M TECHNOLOGIES,SO/26-27/0650,DC/26-27/0661,13559.00,2026-07-09 12:28:14.787,2026-07-31 02:16:40.715162,Dell,Dell Latitude 5490
9BR0MQ2,TTSPL3623,B M TECHNOLOGIES,SO/26-27/0655,DC/26-27/0666,13560.00,2026-07-09 12:28:14.784,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7490
9JT6LC2,TTSPL2833,B M TECHNOLOGIES,SO/26-27/0660,DC/26-27/0671,11016.00,2026-07-09 12:28:14.781,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7470
32XC1N2,TTSPL4065,B M TECHNOLOGIES,SO/26-27/0668,DC/26-27/0679,13560.00,2026-07-09 12:28:14.777,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7490
PG04FH2T,TTSPL5007,B M TECHNOLOGIES,SO/26-27/0679,DC/26-27/0688,27118.00,2026-07-09 12:28:14.775,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
2SSJ6D3,TTSPL7317,B M TECHNOLOGIES,SO/26-27/0681,DC/26-27/0690,18644.00,2026-07-09 12:28:14.772,2026-07-31 02:16:40.715162,Dell,Dell Latitude 5420
PG02YB07,TTSPL6417,B M TECHNOLOGIES,SO/26-27/0687,DC/26-27/0695,20762.00,2026-07-09 12:28:14.756,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad E-14 Gen 2
PG02VJC7,TTSPL6409,B M TECHNOLOGIES,SO/26-27/0691,DC/26-27/0699,20762.00,2026-07-09 12:28:14.75,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad E-14 Gen 2
PF361FK7,TTSPL4688,B M TECHNOLOGIES,SO/26-27/0694,DC/26-27/0701,20762.00,2026-07-09 12:28:14.769,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad T14
JZVXTP2,TTSPLGR0129,B M TECHNOLOGIES,SO/26-27/0696,DC/26-27/0703,11440.00,2026-07-09 12:28:14.761,2026-07-31 02:16:40.715162,Dell,Dell Latitude 5290
PG0343G3,TTSPL5629,B M TECHNOLOGIES,SO/26-27/0711,DC/26-27/0715,20762.00,2026-07-09 12:28:14.747,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad E14
R913GZ7M,TTSPL7282,B M TECHNOLOGIES,SO/26-27/0713,DC/26-27/0717,18220.00,2026-07-09 12:28:14.727,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ8S,TTSPL7217,B M TECHNOLOGIES,SO/26-27/0713,DC/26-27/0717,18220.00,2026-07-09 12:28:14.739,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZAW,TTSPL7272,B M TECHNOLOGIES,SO/26-27/0713,DC/26-27/0717,18220.00,2026-07-09 12:28:14.732,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZFH,TTSPL7281,B M TECHNOLOGIES,SO/26-27/0713,DC/26-27/0717,18220.00,2026-07-09 12:28:14.735,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
26N3D72,TTSPL2397,B M TECHNOLOGIES,SO/26-27/0714,DC/26-27/0718,9322.00,2026-07-09 12:28:14.711,2026-07-31 02:16:40.715162,Dell,DELL Latitude E5250
R913EBTY,TTSPL7249,B M TECHNOLOGIES,SO/26-27/0714,DC/26-27/0718,18220.00,2026-07-09 12:28:14.715,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ6G,TTSPL7161,B M TECHNOLOGIES,SO/26-27/0714,DC/26-27/0718,18220.00,2026-07-09 12:28:14.719,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R914RLRT,TTSPL7233,B M TECHNOLOGIES,SO/26-27/0714,DC/26-27/0718,18220.00,2026-07-09 12:28:14.723,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
6JV3T72,TTSPL2364,B M TECHNOLOGIES,SO/26-27/0716,DC/26-27/0720,9322.00,2026-07-09 12:28:14.7,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7250
R913EBY1,TTSPL7231,B M TECHNOLOGIES,SO/26-27/0716,DC/26-27/0720,18220.00,2026-07-09 12:28:14.705,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ83,TTSPL7257,B M TECHNOLOGIES,SO/26-27/0721,DC/26-27/0725,18220.00,2026-07-09 12:28:14.692,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZBB,TTSPL7267,B M TECHNOLOGIES,SO/26-27/0721,DC/26-27/0725,18220.00,2026-07-09 12:28:14.694,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZBS,TTSPL7208,B M TECHNOLOGIES,SO/26-27/0721,DC/26-27/0725,18220.00,2026-07-09 12:28:14.697,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
PC01USDJ,TTSPL2266,B M TECHNOLOGIES,SO/26-27/0722,DC/26-27/0726,8474.00,2026-07-09 12:28:14.689,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad T440
PF55GD2P,TTSPL5119,B M TECHNOLOGIES,SO/26-27/0724,DC/26-27/0728,27118.00,2026-07-09 12:28:14.686,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
R913EBNP,TTSPL7263,B M TECHNOLOGIES,SO/26-27/0725,DC/26-27/0730,18220.00,2026-07-09 12:28:14.669,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ4C,TTSPL7157,B M TECHNOLOGIES,SO/26-27/0725,DC/26-27/0730,18220.00,2026-07-09 12:28:14.672,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ9Y,TTSPL7202,B M TECHNOLOGIES,SO/26-27/0725,DC/26-27/0730,18220.00,2026-07-09 12:28:14.666,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913EBN0,TTSPL7247,B M TECHNOLOGIES,SO/26-27/0730,DC/26-27/0734,18220.00,2026-07-09 12:28:14.683,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ63,TTSPL7192,B M TECHNOLOGIES,SO/26-27/0730,DC/26-27/0734,18220.00,2026-07-09 12:28:14.678,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ94,TTSPL7225,B M TECHNOLOGIES,SO/26-27/0730,DC/26-27/0734,18220.00,2026-07-09 12:28:14.675,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZEY,TTSPL7256,B M TECHNOLOGIES,SO/26-27/0730,DC/26-27/0734,18220.00,2026-07-09 12:28:14.681,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZGH,TTSPL7280,B M TECHNOLOGIES,SO/26-27/0731,DC/26-27/0735,18220.00,2026-07-09 12:28:14.654,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ3V,TTSPL7265,B M TECHNOLOGIES,SO/26-27/0733,DC/26-27/0737,18220.00,2026-07-09 12:28:14.645,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ56,TTSPL7196,B M TECHNOLOGIES,SO/26-27/0733,DC/26-27/0737,18220.00,2026-07-09 12:28:14.641,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZ6Y,TTSPL7204,B M TECHNOLOGIES,SO/26-27/0733,DC/26-27/0737,18220.00,2026-07-09 12:28:14.662,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
R913GZCR,TTSPL7277,B M TECHNOLOGIES,SO/26-27/0733,DC/26-27/0737,18220.00,2026-07-09 12:28:14.658,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
PG04FGYW,TTSPL4976,B M TECHNOLOGIES,SO/26-27/0734,DC/26-27/0738,27118.00,2026-07-09 12:28:14.65,2026-07-31 02:16:40.715162,Dell,Lenovo V14 (Gen 3)
R913EBTF,TTSPL7167,B M TECHNOLOGIES,SO/26-27/0762,,18220.00,2026-07-09 12:28:14.631,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L13
5CD513854L,TTSPL5021,BM Computers,SO-003002,DC-002989,15254.00,2026-07-09 11:41:44.634,2026-07-31 02:16:40.715162,Dell,HP 255 G10
5CD51385BX,TTSPL5020,BM Computers,SO-003002,DC-002989,15254.00,2026-07-09 11:41:44.638,2026-07-31 02:16:40.715162,Dell,HP 255 G10
CJ6NJM2,TTSPL2905,BM Computers,SO-003402,DC-003345,11864.00,2026-07-09 11:41:44.632,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7480
47K23Z2,TTSPL3097,BM Computers,SO-003528,DC-003454,16102.00,2026-07-09 11:41:44.623,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7400 (Touch Screen)
BK88N13,TTSPL3159,BM Computers,SO-003528,DC-003454,16102.00,2026-07-09 11:41:44.627,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7400 (Touch Screen)
HTKN1Z2,TTSPL3357,BM Computers,SO-003528,DC-003454,16102.00,2026-07-09 11:41:44.63,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7400 (Touch Screen)
3TH7KC2,TTSPL1616,BM Computers,SO-003608,DC-003527,13593.00,2026-07-09 11:41:44.615,2026-07-31 02:16:40.715162,Dell,Dell Latitude E5470
PC0GAJD1,TTSPL2703,BM Computers,SO-003608,DC-003527,13593.00,2026-07-09 11:41:44.612,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad T460
PC030AWS,TTSPL1052,BM Computers,SO-003610,DC-003529,8475.00,2026-07-09 11:41:44.61,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad T440
8FQ2H12,TTSPL1992,BM Computers,SO-003626,DC-003545,8475.00,2026-07-09 11:41:44.608,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7240
PF00NP7G,TTSPL1196,BM Computers,SO-003626,DC-003545,8475.00,2026-07-09 11:41:44.604,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad T440
PC0GAJDD,TTSPL2670,BM Computers,SO-003632,DC-003551,13593.00,2026-07-09 11:41:44.6,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad T460
2B776H2,TTSPL2768,BM Computers,SO-003645,DC-003562,13593.00,2026-07-09 11:41:44.591,2026-07-31 02:16:40.715162,Dell,Dell Latitude E5470
H549HC2,TTSPL1803,BM Computers,SO-003645,DC-003562,13593.00,2026-07-09 11:41:44.589,2026-07-09 12:50:31.11671,Dell,Dell Latitude E5470
BP983H2,TTSPL3209,BM Computers,SO-003680,DC-003594,13593.00,2026-07-09 11:41:44.584,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7470
C34BJC2,TTSPL1081,BM Computers,SO-003680,DC-003594,13593.00,2026-07-09 11:41:44.582,2026-07-31 02:16:40.715162,Dell,Dell Latitude E5470
PC0GJ55L,TTSPL2368,BM Computers,SO-003680,DC-003594,13593.00,2026-07-09 11:41:44.586,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad T460 (Touch Screen)
PG00V2BU,TTSPL1149,BM Computers,SO-003691,DC-003605,13593.00,2026-07-09 11:41:44.58,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad L460
5CG5340Y36,TTSPL1955,BM Computers,SO-003708,DC-003622,8475.00,2026-07-09 11:41:44.578,2026-07-31 02:16:40.715162,Dell,HP Elitebook Folio 9480m
73V16H2,TTSPL2868,BM Computers,SO-003708,DC-003622,10593.00,2026-07-09 11:41:44.576,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7470
FRHQ542,TTSPL3923,BM Computers,SO-003710,DC-003624,8475.00,2026-07-09 11:41:44.573,2026-07-31 02:16:40.715162,Dell,Dell Latitude E7240
C0VM3J3,TTSPL5397,BM Computers,SO-003713,DC-003627,19492.00,2026-07-09 11:41:44.571,2026-07-31 02:16:40.715162,Dell,Dell Latitude 5420
PF33CCND,TTSPL5616,BM Computers,SO-003723,DC-003635,19492.00,2026-07-09 11:41:44.565,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad E14
PG02S21P,TTSPL5597,BM Computers,SO-003723,DC-003635,19492.00,2026-07-09 11:41:44.568,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad E14
CNU429BK2D,TTSPL1922,BM Computers,SO-003748,DC-003654,8474.00,2026-07-09 11:41:44.563,2026-07-31 02:16:40.715162,Dell,HP Elitebook 840 G1
F51RF12,TTSPL1479,BM Computers,SO-003752,DC-003656,8474.00,2026-07-09 11:41:44.56,2026-07-09 12:51:29.542259,Dell,Dell Latitude E7240
7XXB0J3,TTSPL6919,BM Computers,SO-003759,DC-003661,21610.00,2026-07-09 11:41:44.555,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7420
PC1DFHDH,TTSPL5039,BM Computers,SO-003816,DC-003711,15288.00,2026-07-09 11:41:44.552,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad T490s
PF00RH1D,TTSPL2147,BM Computers,SO-003817,DC-003712,8475.00,2026-07-09 11:41:44.549,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad T440
5CG52221H0,TTSPL1876,BM Computers,SO-003819,DC-003716,8475.00,2026-07-09 11:41:44.547,2026-07-31 02:16:40.715162,Dell,HP Elitebook 840 G1
PC0474BD,TTSPL1763,BM Computers,SO-003819,DC-003716,8475.00,2026-07-09 11:41:44.544,2026-07-31 02:16:40.715162,Lenovo,Lenovo Thinkpad T440
5CG5391P12,TTSPL2215,BM Computers,SO-003830,DC-003726,8475.00,2026-07-09 11:41:44.541,2026-07-31 02:16:40.715162,Dell,HP Elitebook Folio 9480m
PF2581KB,TTSPL5247,BM Computers,SO-003830,DC-003726,15288.00,2026-07-09 11:41:44.538,2026-07-31 02:16:40.715162,Dell,Lenovo Thinkpad T490
5CG5527QJB,TTSPL2353,BM Computers,SO-003835,DC-003731,8475.00,2026-07-09 11:41:44.535,2026-07-31 02:16:40.715162,HP,HP Elitebook Folio 9480m
HD45YY2,TTSPL3248,BM Computers,SO-003837,DC-003733,15085.00,2026-07-09 11:41:44.533,2026-07-31 02:16:40.715162,Dell,Dell Latitude 7400 (Touch Screen)
