TTSPL,Serial,Status,Shipping State,Shipping City,From Entity,To Entity,Master Entity,SO,DC,Changed,To Customer ID,To Customer Name
TTSPL6545,GGP5V93,rented,haryana,,HR,HR,HR,SO-003156,DC-003125,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6549,JRSS103,rented,haryana,,HR,HR,HR,SO-003075,DC-003054,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6605,4PYYJG3,rented,haryana,,HR,HR,HR,SO-002957,DC-002950,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6626,FKF2QG3,rented,haryana,,HR,HR,HR,SO-002957,DC-002950,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6633,2DK5QG3,rented,haryana,,HR,HR,HR,SO-002957,DC-002950,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6662,FDTM763,rented,,,HR,HR,HR,,DC-003106,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6721,7GP5V93,rented,haryana,,HR,HR,HR,SO-003144,DC-003113,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6726,G543C63,rented,haryana,,HR,HR,HR,SO-003127,DC-003097,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6731,1DQM763,rented,haryana,,HR,HR,HR,SO-002989,DC-002978,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6732,DY23C63,rented,haryana,,HR,HR,HR,SO-003075,DC-003054,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6736,3PP5V93,rented,haryana,,HR,HR,HR,SO-002956,DC-002949,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6777,17SM763,rented,haryana,,HR,HR,HR,SO-003144,DC-003113,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6781,BG0BW93,rented,maharashtra,,HR,MH,HR,SO-003916,DC-003810,YES,985,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(MH)
TTSPL6783,DQP5V93,rented,haryana,,HR,HR,HR,SO-003144,DC-003113,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6789,7YP1T93,rented,haryana,,HR,HR,HR,SO-002956,DC-002949,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6903,PF1VL73L,rented,haryana,,HR,HR,HR,SO-003156,DC-003125,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6912,PF254LPC,rented,haryana,,HR,HR,HR,SO-003156,DC-003125,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
TTSPL6914,PF2QDGLS,rented,haryana,,HR,HR,HR,SO-003156,DC-003125,NO,207,CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED(HR)
