TTSPL,Serial,Return Customer,Return Type,Delivery Date,Return Date,Outbound DC,Return DC,Delivery Customer,Same Customer,Current Status
TTSPL4617,90Q6PQ3,"Trailytics Global Services Private Limited",Normal Return,2026-08-20,2026-08-05,DC/26-27/1159,RDC001862,"Vaatun Technologies Private Limited",No,rented
TTSPL7034,5CG1417RM2,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-10,2026-08-05,DC/26-27/1099,RDC001870,"Truetech Services Pvt. Ltd.",No,on demo
TTSPL4513,9XW17G3,"Truetech Services Pvt. Ltd.",Normal Return,2026-08-11,2026-08-04,DC/26-27/1089,RDC001893,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",No,returned
TTSPL4381,PC261P45,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-10,2026-08-04,DC/26-27/1102,RDC001871,"ZYKRR TECHNOLOGIES PRIVATE LIMITED",No,rented
TTSPL3876,8D8THR2,"QUEST SOLUTIONS PRIVATE LIMITED",Repair Return,2026-08-04,2026-08-04,DC/26-27/1072,RDC001897,"QUEST SOLUTIONS PRIVATE LIMITED",Yes,rented
TTSPL4811,GZTXZH3,"CERTIFICATION EDUCATION PROVIDERS PRIVATE LIMITED",Replacement Return,2026-08-08,2026-08-04,DC/26-27/1081,RDC001662,"Synergie Network Engineering India Pvt Ltd",No,rented
TTSPL6298,D3PXVM3,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",Replacement Return,2026-08-08,2026-08-04,DC/26-27/1081,RDC001869,"Synergie Network Engineering India Pvt Ltd",No,rented
TTSPL7245,R913GZ4E,"SCALE BUSINESS SERVICES PRIVATE LIMITED",Replacement Return,2026-08-13,2026-08-04,DC/26-27/1112,RDC001663,"CDBASE SOLUTIONS INDIA PRIVATE LIMITED",No,rented
TTSPL4528,99640J3,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-14,2026-08-01,DC/26-27/1135,RDC001791,"KULSYS TECHNOLOGIES PRIVATE LIMITED",No,rented
TTSPL3032,2NKPM72,"Mercury Solutions Limited",Normal Return,2026-08-24,2026-08-01,DC/26-27/1198,RDC001878,"B M TECHNOLOGIES",No,sold
TTSPL4983,PG04FGZ5,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-06,2026-08-01,DC/26-27/1075,RDC001794,"SLEEP MANAGEMENT PRIVATE LIMITED",No,rented
TTSPL4578,1S4MNQ3,"FLEET LABS TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-21,2026-08-01,DC/26-27/1188,RDC001877,"QUEST SOLUTIONS PRIVATE LIMITED",No,rented
