TTSPL ID,Serial Number,Status,Customer ID,Customer Name,DC Number,Entity,Brand,Model,Processor,Generation,RAM,Storage,GPU,Screen Size,Monthly Rate (ex GST),SO Rate (ex GST),Sales Order,Rent Start,Dispatched,Delivered,PO Number,PO Type
TTSPL6157,PF31SCNK,out_stock,,,,,Dell,Lenovo Thinkpad T14,I5,10TH,16,512 SSD,Intel UHD Graphics,14-inch,,26000.00,SO-003311,,,,PO-0005,direct_purchase
TTSPL6177,PF1A60YU,out_stock,,,,,Dell,Lenovo Thinkpad T14,I5,10TH,16,512 SSD,Intel UHD Graphics,14-inch,,26000.00,SO-003311,,,,PO-0013,direct_purchase
TTSPL6195,PF1BXJM3,out_stock,,,,,Dell,Lenovo Thinkpad T14,I5,10TH,16,512 SSD,Intel UHD Graphics,14-inch,,24000.00,SO-003511,,,,PO-0005,direct_purchase
TTSPL6273,F3P6V93,out_stock,,,,,Dell,Dell Latitude 3410,I5,10TH,16,512 SSD,Intel UHD Graphics,14-inch,,26000.00,SO/26-27/0469,,,,PO-0009,rental_purchase
TTSPL6497,H8QS103,out_stock,,,,,Dell,Dell Latitude 3410,I5,10TH,16,512 SSD,Intel UHD Graphics,14-inch,,26000.00,SO/26-27/0469,,,,PO-0009,rental_purchase
TTSPL6909,PF1VLBR3,out_stock,,,,,Lenovo,Lenovo Thinkpad T14,I5,10TH,16GB,512GB SSD,Intel UHD Graphics,14-inch,,26000.00,SO-003311,,,,PO-0050,direct_purchase
TTSPL6910,PF254RXY,out_stock,,,,,Dell,Lenovo Thinkpad T14,I5,10TH,16,512 SSD,Intel UHD Graphics,14-inch,,26000.00,SO-003311,,,,PO-0013,direct_purchase
TTSPL6934,H5R60J3,out_stock,,,,,Dell,Dell Latitude 7420,I5,11TH,16,256 SSD,Intel UHD Graphics,14-inch,,20763.00,SO-003875,,,,PO-0013,direct_purchase
TTSPL7061,FXHRN53,out_stock,,,,,Dell,Dell Latitude 5400,I5,8TH,8GB,256GB SSD,Intel UHD Graphics,14-inch,,19500.00,SO-003452,,,,PO-0066,direct_purchase
TTSPL7063,3JW9533,out_stock,,,,,Dell,Dell Latitude 5400,I5,8TH,8GB,256GB SSD,Intel UHD Graphics,14-inch,,19500.00,SO-003452,,,,PO-0066,direct_purchase
TTSPL7064,GD8QN53,out_stock,,,,,Dell,Dell Latitude 5400,I5,8TH,8GB,256GB SSD,Intel UHD Graphics,14-inch,,14624.00,SO-003446,,,,PO-0066,direct_purchase
TTSPL7067,CJLNN53,out_stock,,,,,Dell,Dell Latitude 5400,I5,8TH,8GB,256GB SSD,Intel UHD Graphics,14-inch,,14624.00,SO-003446,,,,PO-0066,direct_purchase
TTSPL7134,H0FBNW2,out_stock,,,,,Dell,Dell Latitude 3400,I7,8TH,8GB,512GB SSD,Nvidia Geforce MX130,14-inch,,14830.00,SO/26-27/0306,,,,PO-0115,direct_purchase
